number,value,datetime_start,datetime_complete,duration,params_horizon,params_margin,params_w_obstacle,params_w_social,params_w_speed_ref,params_w_terminal_goal,state
0,0.6091111111111112,2026-08-13 22:49:27.592591,2026-08-13 22:50:56.139960,0 days 00:01:28.547369,11,0.13980199922133155,9.166576735137753,0.8747064810385992,0.3149609461098427,12.17666541456877,COMPLETE
1,0.3101041666666667,2026-08-13 22:50:56.139960,2026-08-13 22:52:03.859175,0 days 00:01:07.719215,10,0.11991213635799376,22.807691332305794,0.5649268471624099,0.8533769276457883,19.020622643941902,COMPLETE
2,0.7587222222222222,2026-08-13 22:52:03.859175,2026-08-13 22:53:40.393973,0 days 00:01:36.534798,11,0.17154537374314946,2.393041108749739,0.2532223316692518,0.10562790848409549,20.716969001329286,COMPLETE
3,0.9103194444444443,2026-08-13 22:53:40.393973,2026-08-13 22:55:34.310311,0 days 00:01:53.916338,14,0.16268995996869745,23.685701631312515,1.7414595755201463,0.34893283915816964,18.00342079997561,COMPLETE
4,0.7588125,2026-08-13 22:55:34.310311,2026-08-13 22:56:58.700712,0 days 00:01:24.390401,6,0.10049252979838902,2.8726032799628154,2.582538780003099,0.4109048333460421,10.068523116150127,COMPLETE
5,0.9099583333333334,2026-08-13 22:56:58.700712,2026-08-13 22:58:30.422790,0 days 00:01:31.722078,8,0.1349980345028991,6.329739871424619,0.9323096817922781,0.1052200539290278,14.134963195431801,COMPLETE
6,0.9112152777777777,2026-08-13 22:58:30.422790,2026-08-13 23:00:15.186483,0 days 00:01:44.763693,12,0.10429543214588805,21.68885936669691,1.267397627126991,0.2647366685722848,9.500600889325007,COMPLETE
7,0.7604375,2026-08-13 23:00:15.186483,2026-08-13 23:01:53.070894,0 days 00:01:37.884411,13,0.051917470601325066,10.774895879981951,1.229592858516069,0.17677835616219068,2.3285840508915068,COMPLETE
8,0.454625,2026-08-13 23:01:53.070894,2026-08-13 23:02:10.617726,0 days 00:00:17.546832,8,0.047347617827164776,8.442761917587935,0.6559419428558234,1.4535093560782322,5.0117336490455395,PRUNED
9,0.7583958333333333,2026-08-13 23:02:10.617726,2026-08-13 23:03:36.118339,0 days 00:01:25.500613,7,0.07155235064027246,10.40952847304446,0.39712208080589817,0.3535281690136817,3.005882645498287,COMPLETE
10,0.7566666666666667,2026-08-13 23:03:36.118339,2026-08-13 23:05:44.467746,0 days 00:02:08.349407,16,0.1958636794826505,4.235911749426119,0.2111571232248383,0.7641639623370161,6.310733113988896,COMPLETE
11,0.7598611111111112,2026-08-13 23:05:44.467746,2026-08-13 23:07:40.523989,0 days 00:01:56.056243,15,0.16504171747291402,24.776529241824274,1.903432301951849,0.2189036100905083,8.276167965234759,COMPLETE
12,0.7665694444444444,2026-08-13 23:07:40.523989,2026-08-13 23:09:09.976666,0 days 00:01:29.452677,14,0.0904023307560352,16.419877443300297,1.376777990765052,0.5695836414603905,23.667989528065654,COMPLETE
13,0.7597222222222221,2026-08-13 23:09:09.976666,2026-08-13 23:10:55.247421,0 days 00:01:45.270755,13,0.15912560977289408,15.59876864989884,2.741884066364495,0.1927888989776256,14.992934954342985,COMPLETE
14,0.9110486111111111,2026-08-13 23:10:55.247421,2026-08-13 23:12:39.576753,0 days 00:01:44.329332,12,0.1990722851321085,16.588344810653307,1.7761088983696054,0.2415936812657754,7.377707514929205,COMPLETE
15,0.7602152777777778,2026-08-13 23:12:39.576753,2026-08-13 23:14:12.892676,0 days 00:01:33.315923,10,0.030685251787972406,15.662139248712249,1.8066373173906625,0.23532848912378296,4.52987779197893,COMPLETE
16,0.7600694444444445,2026-08-13 23:14:12.892676,2026-08-13 23:15:53.961542,0 days 00:01:41.068866,12,0.10572888580451041,13.785529279334849,1.115692846043631,0.146630891543639,7.8751658413268775,COMPLETE
17,0.7595208333333333,2026-08-13 23:15:53.961542,2026-08-13 23:17:24.328902,0 days 00:01:30.367360,9,0.19780016989539256,19.097047521110394,0.7147634678340999,0.2651955295234169,4.71512092209746,COMPLETE
18,0.7580833333333333,2026-08-13 23:17:24.328902,2026-08-13 23:18:47.429977,0 days 00:01:23.101075,5,0.0849330265489395,6.59771888170405,2.2328003200389714,0.47815843268252023,6.509032144414004,COMPLETE
19,0.7595833333333334,2026-08-13 23:18:47.429977,2026-08-13 23:20:27.962986,0 days 00:01:40.533009,12,0.1266985856479093,12.706445774560578,1.492846284891952,0.14214835363616227,10.35131776946744,COMPLETE
20,0.7596805555555556,2026-08-13 23:20:27.962986,2026-08-13 23:22:27.679207,0 days 00:01:59.716221,16,0.18241573902117883,18.7774734106102,0.4796689707101326,0.27112988235652447,3.435708272902988,COMPLETE
21,0.6102430555555555,2026-08-13 23:22:27.679207,2026-08-13 23:24:07.043236,0 days 00:01:39.364029,14,0.15152572599689298,21.30331213399744,1.6596641561620458,0.3288549377115813,17.415789638664997,COMPLETE
22,0.7593055555555556,2026-08-13 23:24:07.043236,2026-08-13 23:26:01.218455,0 days 00:01:54.175219,14,0.18028975318107876,24.55165672273637,1.0598051739147787,0.5432802760423275,10.939021981363794,COMPLETE
23,0.9106666666666667,2026-08-13 23:26:01.218455,2026-08-13 23:27:46.838445,0 days 00:01:45.619990,12,0.18394920485976135,18.44297764208166,2.0832342667927777,0.37638054548364724,8.631918533148,COMPLETE
24,0.6102569444444444,2026-08-13 23:27:46.838445,2026-08-13 23:29:34.494419,0 days 00:01:47.655974,12,0.18709617875870488,12.621204412316072,2.2578759529693313,0.6965316942503685,7.902064685655619,COMPLETE
25,0.9114583333333334,2026-08-13 23:29:34.494419,2026-08-13 23:31:15.494707,0 days 00:01:41.000288,11,0.19736372937947053,18.61307103329115,2.0772590168440543,0.4176201634582212,6.181089452432053,COMPLETE
26,0.7603263888888888,2026-08-13 23:31:15.494707,2026-08-13 23:32:49.480245,0 days 00:01:33.985538,10,0.1489811194729932,13.963772826760676,2.9193201597487755,0.1532528965928967,6.180628175732316,COMPLETE
27,0.7605902777777778,2026-08-13 23:32:49.480245,2026-08-13 23:34:26.533426,0 days 00:01:37.053181,11,0.11157880512283744,19.005095149718468,1.360501677019752,0.4523138990078056,3.6554050224765646,COMPLETE
28,0.7593125000000001,2026-08-13 23:34:26.533426,2026-08-13 23:35:56.956295,0 days 00:01:30.422869,9,0.06725338172881051,11.99161555180682,0.9209208705354441,0.2719051481266499,5.814162050149419,COMPLETE
29,0.7562291666666666,2026-08-13 23:35:56.956295,2026-08-13 23:37:34.433313,0 days 00:01:37.477018,11,0.14276930360932327,8.515935333269773,0.827354862760282,0.9566068796610101,12.67765787520481,COMPLETE
30,0.9117500000000001,2026-08-13 23:37:34.433313,2026-08-13 23:39:24.024868,0 days 00:01:49.591555,13,0.17210668821791297,16.53182270402533,1.5524579610655465,0.3074717783685005,9.501357196556938,COMPLETE
31,0.6114652777777777,2026-08-13 23:39:24.024868,2026-08-13 23:41:09.169392,0 days 00:01:45.144524,13,0.19477263123785335,16.51017988825067,1.4762013439720625,0.287815065800377,9.689148221543885,COMPLETE
32,0.9113680555555556,2026-08-13 23:41:09.169392,2026-08-13 23:42:59.271915,0 days 00:01:50.102523,13,0.17387777362605658,21.044380230025457,2.3318570077698513,0.2136726817437973,7.099607081691346,COMPLETE
33,0.7597916666666666,2026-08-13 23:42:59.271915,2026-08-13 23:44:44.618490,0 days 00:01:45.346575,13,0.17688007437608205,20.240625338593293,2.419740234997666,0.19999360880119002,11.785547202494921,COMPLETE
34,0.6103333333333333,2026-08-13 23:44:44.618490,2026-08-13 23:46:13.500269,0 days 00:01:28.881779,11,0.16680827434310663,19.918694255908935,1.195976882527683,0.33074897352404536,5.562826373823277,COMPLETE
35,0.7604166666666666,2026-08-13 23:46:13.500269,2026-08-13 23:48:01.852627,0 days 00:01:48.352358,15,0.12520244353276594,22.062813063114035,2.1128518442506787,0.17749875140953797,7.024415955259648,COMPLETE
36,0.761875,2026-08-13 23:48:01.852627,2026-08-13 23:49:49.130260,0 days 00:01:47.277633,15,0.17561363024281051,2.009219809815372,1.5697443759420684,0.1206096342470381,9.130351250756682,COMPLETE
37,0.9105347222222222,2026-08-13 23:49:49.130260,2026-08-13 23:51:39.136796,0 days 00:01:50.006536,13,0.15651498452796359,10.19427691977816,2.9874449478516425,0.414470976096588,13.679033818788584,COMPLETE
38,0.6106597222222222,2026-08-13 23:51:39.136796,2026-08-13 23:53:04.877983,0 days 00:01:25.741187,10,0.13803931568767636,14.370513373140465,2.469369026531916,0.30292999847154367,5.1868071479448465,COMPLETE
39,0.7602013888888889,2026-08-13 23:53:04.877983,2026-08-13 23:54:43.766093,0 days 00:01:38.888110,11,0.18969451636219106,23.59555651834225,1.9632902044703897,0.5430637020049737,4.355126777334991,COMPLETE
40,0.9109861111111112,2026-08-13 23:54:43.767097,2026-08-13 23:56:17.437891,0 days 00:01:33.670794,9,0.16664167607141045,3.5323843016087677,1.2869487924318856,0.2332578565021488,16.309440417323934,COMPLETE
41,0.6104236111111111,2026-08-13 23:56:17.437891,2026-08-13 23:57:58.000637,0 days 00:01:40.562746,12,0.17320753810313536,17.22642164502229,1.6948354555828986,0.22527910078123797,7.320229735841536,COMPLETE
42,0.7600763888888888,2026-08-13 23:57:58.000637,2026-08-13 23:59:44.479040,0 days 00:01:46.478403,13,0.19953335365343566,21.781971677798193,1.0459517617641934,0.3693680608535887,7.231565057339566,COMPLETE
43,0.6103819444444445,2026-08-13 23:59:44.479040,2026-08-14 00:01:12.858625,0 days 00:01:28.379585,11,0.18887531341454072,17.073427699293678,1.875566507879151,0.2525002445460619,9.291322443935236,COMPLETE
44,0.7600694444444445,2026-08-14 00:01:12.858625,2026-08-14 00:03:04.262653,0 days 00:01:51.404028,14,0.19986699736713306,14.489026753764193,2.5335919853954842,0.20602178319717132,11.159698133781742,COMPLETE
45,0.7590277777777777,2026-08-14 00:03:04.262653,2026-08-14 00:04:44.628341,0 days 00:01:40.365688,12,0.1716861104269427,12.208625935969597,0.31200742151271577,0.1623398989910238,6.726619977154991,COMPLETE
46,0.7600277777777777,2026-08-14 00:04:44.628341,2026-08-14 00:06:29.669609,0 days 00:01:45.041268,13,0.1895457052882522,24.874605295524383,1.608905125643852,0.31018285161558123,2.0496812369233686,COMPLETE
47,0.7602986111111111,2026-08-14 00:06:29.669609,2026-08-14 00:08:09.676893,0 days 00:01:40.007284,12,0.06332791457895381,15.32006254307738,1.8512374037714334,0.12091660459402825,4.0400438421108475,COMPLETE
