number,value,datetime_start,datetime_complete,duration,params_horizon,params_lookahead_distance,params_margin,params_w_obstacle,params_w_smooth,params_w_social,state
0,0.15420833333333334,2026-08-14 02:05:20.085270,2026-08-14 02:06:13.177332,0 days 00:00:53.092062,13,12.867083030096614,0.13980199922133155,2.659312838729078,5.30499275351895,0.5115750615935457,COMPLETE
1,0.15418055555555554,2026-08-14 02:06:13.177332,2026-08-14 02:06:51.531245,0 days 00:00:38.353913,11,14.809503008602878,0.11991213635799376,7.233285227265,12.380980333548363,0.3154052496956797,COMPLETE
2,0.15420833333333334,2026-08-14 02:06:51.531245,2026-08-14 02:07:41.662056,0 days 00:00:50.130811,13,15.181563021219272,0.17154537374314946,0.6088438751830741,2.095310518217303,0.12982485087605056,COMPLETE
3,0.5970902777777778,2026-08-14 02:07:41.662056,2026-08-14 02:09:07.072912,0 days 00:01:25.410856,16,14.570133630715011,0.16268995996869745,7.539523611247054,5.787744592995377,1.095794871004918,COMPLETE
4,0.0,2026-08-14 02:09:07.072912,2026-08-14 02:09:56.130709,0 days 00:00:49.057797,7,12.039131234602763,0.10049252979838902,0.7440199183038533,6.6508678308011655,1.694503994906603,COMPLETE
5,0.0,2026-08-14 02:09:56.130709,2026-08-14 02:10:26.933553,0 days 00:00:30.802844,9,13.516570583776383,0.1349980345028991,1.771045563791841,2.0884293889876693,0.5489712718496442,PRUNED
6,0.3095833333333333,2026-08-14 02:10:26.933553,2026-08-14 02:11:29.339566,0 days 00:01:02.406013,13,11.786273965622327,0.10429543214588805,6.844723740175419,4.576546677755683,0.7710253564584054,COMPLETE
7,0.3092916666666667,2026-08-14 02:11:29.339566,2026-08-14 02:12:29.022937,0 days 00:00:59.683371,15,5.662480187921968,0.051917470601325066,3.1756828975183806,3.2464786918232575,0.7456241820636359,COMPLETE
8,0.449875,2026-08-14 02:12:29.022937,2026-08-14 02:13:30.706303,0 days 00:01:01.683366,10,9.00081848036885,0.047347617827164776,2.4297149709276677,19.47169838368977,0.37207777131480196,COMPLETE
9,0.45403472222222224,2026-08-14 02:13:30.706303,2026-08-14 02:14:21.604356,0 days 00:00:50.898053,8,6.774404696734958,0.07155235064027246,3.057671250622816,5.852491188824884,0.21356986471473188,COMPLETE
10,0.3087986111111111,2026-08-14 02:14:21.604356,2026-08-14 02:15:24.703242,0 days 00:01:03.098886,18,8.916101981491895,0.19716606590945152,1.1395711136343423,9.904304056321143,1.6199066455190256,COMPLETE
11,0.0,2026-08-14 02:15:24.703242,2026-08-14 02:15:31.376786,0 days 00:00:06.673544,6,7.227861865807213,0.08445867268480213,4.290673861496741,7.651878215194133,0.11673834363513096,PRUNED
12,0.0,2026-08-14 02:15:31.376786,2026-08-14 02:15:50.856311,0 days 00:00:19.479525,18,10.04648271582769,0.030951460776362072,4.5982725150156005,3.8161467248440446,0.19657194183592602,PRUNED
13,0.4554722222222222,2026-08-14 02:15:50.856311,2026-08-14 02:16:51.762961,0 days 00:01:00.906650,16,5.809433046241489,0.16263535514937313,1.7469455292868754,6.971502227101618,1.260250484050336,COMPLETE
14,0.4557291666666667,2026-08-14 02:16:51.762961,2026-08-14 02:17:57.499527,0 days 00:01:05.736566,16,5.078969072178198,0.16859379397946955,1.4364792256551182,9.019577429059565,1.1464068752522245,COMPLETE
15,0.0,2026-08-14 02:17:57.499527,2026-08-14 02:18:05.212332,0 days 00:00:07.712805,16,10.729469593280363,0.1943878122239474,1.0436544899686775,11.066126606848995,1.0895936802617647,PRUNED
16,0.0,2026-08-14 02:18:05.212332,2026-08-14 02:18:17.539128,0 days 00:00:12.326796,15,15.869830534128313,0.16501855771948415,4.984935382204173,16.99823940411728,0.9399208108529519,PRUNED
17,0.45690625,2026-08-14 02:18:17.539128,2026-08-14 02:19:12.178522,0 days 00:00:54.639394,17,8.157439238390985,0.14573771237546532,1.5086489705121302,8.887086974029945,1.8633336793176898,PRUNED
18,0.0,2026-08-14 02:19:12.178522,2026-08-14 02:19:24.556436,0 days 00:00:12.377914,15,13.85653752557519,0.18174310860732157,0.5082815731390116,14.278025968715445,1.2887156754776128,PRUNED
19,0.0,2026-08-14 02:19:24.556436,2026-08-14 02:19:31.773261,0 days 00:00:07.216825,12,10.39724183975762,0.14749146882399555,0.8530134172424212,3.4015259403570712,0.6310981373580783,PRUNED
20,0.0,2026-08-14 02:19:31.773261,2026-08-14 02:19:49.224309,0 days 00:00:17.451048,14,5.307080556898604,0.12214962328329287,1.291471906053592,4.499755935464773,0.8804076235947098,PRUNED
21,0.4555902777777778,2026-08-14 02:19:49.224309,2026-08-14 02:20:55.306749,0 days 00:01:06.082440,16,6.418664022571424,0.16170850374594484,2.1972760623509067,7.852615019298757,1.4012253333837792,COMPLETE
22,0.4519166666666667,2026-08-14 02:20:55.306749,2026-08-14 02:21:17.725294,0 days 00:00:22.418545,17,6.637853124668111,0.17733379039010705,2.242370541950445,8.524279215428479,1.334292542577155,PRUNED
23,0.4558194444444444,2026-08-14 02:21:17.725294,2026-08-14 02:22:18.893789,0 days 00:01:01.168495,16,5.147597185961589,0.1571257353132423,1.981088639820943,5.8232387452134615,1.0244339550103914,COMPLETE
24,0.45129166666666665,2026-08-14 02:22:18.893789,2026-08-14 02:22:41.235813,0 days 00:00:22.342024,17,7.50079792057902,0.15591665784820663,0.8851594194729935,5.82136419366571,0.9483523969767192,PRUNED
