number,value,datetime_start,datetime_complete,duration,params_centerline_cost_gain,params_goal_cost_gain,params_obstacle_cost_gain,params_predict_time,params_social_distance,params_speed_cost_gain,state
0,0.3053888888888889,2026-08-13 17:35:46.986797,2026-08-13 17:36:53.305450,0 days 00:01:06.318653,0.07821210768011508,2.2123322991714236,0.8747064810385992,2.7366778109965093,1.1104835243733218,0.6084336604281838,COMPLETE
1,0.4519930555555556,2026-08-13 17:36:53.305450,2026-08-13 17:37:57.731042,0 days 00:01:04.425592,0.25574909304801713,3.193899688326231,0.5649268471624099,2.4252441915355387,0.981784411728195,1.7937179620011747,COMPLETE
2,0.45179166666666665,2026-08-13 17:37:57.731042,2026-08-13 17:39:06.789155,0 days 00:01:09.058113,0.02134489891207622,3.4266287973643252,0.2532223316692518,2.7905247710630103,1.315881830102732,0.12371433997667479,COMPLETE
3,0.3033125,2026-08-13 17:39:06.789155,2026-08-13 17:40:19.364030,0 days 00:01:12.574875,0.0883385892406494,3.05259553030003,1.7414595755201463,3.378838902659581,1.2585820939151011,1.875909218317793,COMPLETE
4,0.15525,2026-08-13 17:40:19.364030,2026-08-13 17:41:20.797076,0 days 00:01:01.433046,0.10728589859999589,1.8918045739726355,2.582538780003099,1.5311683924330128,0.856128133989576,0.15364092985079622,COMPLETE
5,0.0,2026-08-13 17:41:20.797076,2026-08-13 17:41:48.570885,0 days 00:00:27.773809,0.021246970232956238,2.501339819753808,0.9323096817922781,1.9407557138929554,1.0793990467834649,0.3921617796346586,PRUNED
6,0.0,2026-08-13 17:41:48.570885,2026-08-13 17:42:23.757889,0 days 00:00:35.187004,0.06362099739376802,1.8035032096098291,1.267397627126991,2.91386802362278,0.8807351491792756,1.6898360018769674,PRUNED
7,0.0,2026-08-13 17:42:23.757889,2026-08-13 17:42:50.753420,0 days 00:00:26.995531,0.039366988641384784,0.5667075840947188,1.229592858516069,3.1533673485963414,0.5418189274203387,0.7370271679354485,PRUNED
8,0.0,2026-08-13 17:42:50.753420,2026-08-13 17:43:17.191387,0 days 00:00:26.437967,0.4816342106213387,1.065205891357241,0.6559419428558234,2.083199382587715,0.512249291822831,0.5518780254129613,PRUNED
9,0.0,2026-08-13 17:43:17.191387,2026-08-13 17:43:41.942483,0 days 00:00:24.751096,0.08972314362179301,0.6992734105116742,0.39712208080589817,1.784854917065537,0.6688681512017631,0.707478948788083,PRUNED
10,0.5982361111111111,2026-08-13 17:43:41.942483,2026-08-13 17:44:56.677103,0 days 00:01:14.734620,0.42873189149907115,1.0485885457725816,0.2111571232248383,3.833881952932726,1.4746884551883706,0.24353736130688405,COMPLETE
11,0.0,2026-08-13 17:44:56.677103,2026-08-13 17:45:26.110187,0 days 00:00:29.433084,0.379337243382618,1.1816910736532478,0.21550497480005104,3.7453975173760985,1.476885850313428,0.22078631937929127,PRUNED
12,0.45394444444444443,2026-08-13 17:45:26.110187,2026-08-13 17:46:32.077992,0 days 00:01:05.967805,0.2537631487752088,1.208201438788825,0.40757796210403896,3.9978016134467347,1.4496699104819546,1.1269951207181927,COMPLETE
13,0.2952916666666667,2026-08-13 17:46:32.077992,2026-08-13 17:47:02.770400,0 days 00:00:30.692408,0.19922291861358324,1.12886411922564,0.3271990297701446,3.9137732069509887,1.4824814482599604,0.26803296950418787,PRUNED
14,0.7488055555555556,2026-08-13 17:47:02.770400,2026-08-13 17:48:35.703932,0 days 00:01:32.933532,0.1913058910079844,0.8449553887671853,0.410632391755634,3.591768976166733,1.3018349239785314,1.1163546938482947,COMPLETE
15,0.0,2026-08-13 17:48:35.703932,2026-08-13 17:48:53.162078,0 days 00:00:17.458146,0.15023963741044039,0.8420077601967393,0.28825851058282165,3.423555571167192,1.268535249410424,0.3685918623946651,PRUNED
16,0.0,2026-08-13 17:48:53.162078,2026-08-13 17:49:43.759421,0 days 00:00:50.597343,0.328613488305719,0.5152322713287255,0.4926749671003911,3.6002879835924255,1.3381965599209453,1.0459258145250323,PRUNED
17,0.6047986111111111,2026-08-13 17:49:43.759421,2026-08-13 17:51:00.123646,0 days 00:01:16.364225,0.15249813715743016,0.8333988565427034,0.20517701057254759,3.2026068635296423,1.1488910800765404,0.10211447429900976,COMPLETE
18,0.0,2026-08-13 17:51:00.123646,2026-08-13 17:51:25.848260,0 days 00:00:25.724614,0.1479022433380264,0.7395251331134883,0.3426847274872919,3.2845216090296754,1.1288276591746818,0.10131919688435363,PRUNED
19,0.4539583333333333,2026-08-13 17:51:25.848260,2026-08-13 17:52:31.957489,0 days 00:01:06.109229,0.14946984770555585,1.4401524662840712,0.46716283553128973,2.4787636988045776,1.1637055798780565,0.17434364933371854,COMPLETE
20,0.0,2026-08-13 17:52:31.957489,2026-08-13 17:52:50.993971,0 days 00:00:19.036482,0.04836160293380184,0.8335308435469815,0.6923783231953237,3.580165230166938,1.0127247540450504,0.38397246327445,PRUNED
21,0.7528541666666667,2026-08-13 17:52:50.993971,2026-08-13 17:54:10.282516,0 days 00:01:19.288545,0.20634790403540762,0.9333603520687297,0.20115770268598004,3.040839217267709,1.3756784903984467,0.2401697707759174,COMPLETE
22,0.0,2026-08-13 17:54:10.282516,2026-08-13 17:54:27.554890,0 days 00:00:17.272374,0.2262745878678164,0.6397515717034244,0.20487784167955803,2.958200176666409,1.37301173776789,0.16601644644924335,PRUNED
23,0.6058472222222222,2026-08-13 17:54:27.554890,2026-08-13 17:55:45.369240,0 days 00:01:17.814350,0.18164490289825636,0.9036805719497484,0.26529516774232903,3.0589196347322,1.2184918730327863,1.1142024537708382,COMPLETE
24,0.7552777777777777,2026-08-13 17:55:45.369240,2026-08-13 17:57:04.217089,0 days 00:01:18.847849,0.305099133761564,1.4299457042517374,0.27504659602357295,3.044933266348776,1.2116591020492367,1.2719356977187644,COMPLETE
25,0.0,2026-08-13 17:57:04.217089,2026-08-13 17:57:19.835651,0 days 00:00:15.618562,0.29745340052188307,1.4240384071381305,0.3136574168936974,2.6707779485276855,1.3804411361653441,1.2597763348785023,PRUNED
26,0.6078958333333333,2026-08-13 17:57:19.835651,2026-08-13 17:58:33.560476,0 days 00:01:13.724825,0.33421071545184566,1.6060330420733964,0.3982533480520697,1.2063427159000466,1.226604567149967,1.3479560991772748,COMPLETE
27,0.605638888888889,2026-08-13 17:58:33.560476,2026-08-13 17:59:43.435351,0 days 00:01:09.874875,0.12025608010966662,0.9566454964410172,0.2679571487597328,3.5794763690236397,1.3792596874795167,0.889854647693546,COMPLETE
28,0.607,2026-08-13 17:59:43.435351,2026-08-13 18:00:52.852568,0 days 00:01:09.417217,0.20560107620234994,1.3299909052807712,0.3378980116264255,2.4292125173276147,1.0220902820407822,0.49656931522253905,COMPLETE
29,0.45908333333333334,2026-08-13 18:00:52.852568,2026-08-13 18:01:59.278208,0 days 00:01:06.425640,0.2845925638140841,2.2151398818519885,0.24297291200071608,2.667311803887327,0.890365130607161,0.8141011480802941,COMPLETE
