number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
0,0.0,2026-08-14 13:41:08.353117,2026-08-14 13:44:19.306674,0 days 00:03:10.953557,0.7013816880358219,0.22879734159310489,39520,9.488135039273248,COMPLETE
1,0.1395833333333333,2026-08-14 13:44:19.306674,2026-08-14 13:47:20.666480,0 days 00:03:01.359806,0.6187936056313463,0.21147352826666405,55130,8.236547993389047,COMPLETE
2,0.0,2026-08-14 13:47:20.666480,2026-08-14 13:49:59.306409,0 days 00:02:38.639929,0.7958625190413323,0.14586037970644444,38800,13.636627605010293,COMPLETE
3,0.14906944444444445,2026-08-14 13:49:59.306409,2026-08-14 13:53:24.486147,0 days 00:03:25.179738,0.4355180290989435,0.28139915957316525,18920,9.680445610939323,COMPLETE
4,0.14669444444444446,2026-08-14 13:53:24.486147,2026-08-14 13:57:06.847835,0 days 00:03:42.361688,0.7890783754749253,0.2581549613869845,54151,4.202183974403257,COMPLETE
5,0.1440972222222222,2026-08-14 13:57:06.848839,2026-08-14 14:02:25.272142,0 days 00:05:18.423303,0.630739681126466,0.2497896410541809,50124,13.78618342232764,COMPLETE
6,0.28563194444444445,2026-08-14 14:02:25.272142,2026-08-14 14:06:34.443435,0 days 00:04:09.171293,0.4716766437045232,0.20998025533188097,57511,5.182744258689333,COMPLETE
7,0.14738194444444444,2026-08-14 14:06:34.443435,2026-08-14 14:09:57.470885,0 days 00:03:23.027450,0.5322778060523135,0.15366548499763089,49841,9.218483217500717,COMPLETE
8,0.14729861111111112,2026-08-14 14:09:57.470885,2026-08-14 14:13:08.907528,0 days 00:03:11.436643,0.4093949002181776,0.19210848721716212,42794,8.561503322165485,COMPLETE
9,0.0,2026-08-14 14:13:08.907528,2026-08-14 14:13:29.351080,0 days 00:00:20.443552,0.8718740392573121,0.20423349921868922,45682,10.120957227224213,PRUNED
10,0.0,2026-08-14 14:13:29.351080,2026-08-14 14:13:50.776829,0 days 00:00:21.425749,0.5485613696436733,0.06377495640992686,26823,4.203344716249308,PRUNED
11,0.0,2026-08-14 14:13:50.776829,2026-08-14 14:14:33.005589,0 days 00:00:42.228760,0.4201736766330905,0.297980890086151,21171,6.472296038914597,PRUNED
12,0.43041666666666667,2026-08-14 14:14:33.005589,2026-08-14 14:15:28.861575,0 days 00:00:55.855986,0.4874511027511732,0.29847980440995736,30952,11.753010611324967,PRUNED
