number,value,datetime_start,datetime_complete,duration,params_replan_interval,params_social_distance,params_x_res,params_y_res,state
0,0.6112430555555556,2026-08-13 20:13:22.415290,2026-08-13 20:14:27.955169,0 days 00:01:05.539879,2.0069084401791097,0.9993715012965866,1.3232202558909871,0.4718352148675887,COMPLETE
1,0.46022222222222214,2026-08-13 20:14:27.955169,2026-08-13 20:15:23.340172,0 days 00:00:55.385003,1.5939680281567312,1.3809503008602877,1.135482199008357,0.4406523508799952,COMPLETE
2,0.0,2026-08-13 20:15:23.340172,2026-08-13 20:16:32.499781,0 days 00:01:09.159609,2.4793125952066615,0.981784411728195,1.9454941407515438,0.32254868347159993,COMPLETE
3,0.3042638888888889,2026-08-13 20:16:32.499781,2026-08-13 20:17:24.010296,0 days 00:00:51.510515,0.6775901454947173,0.4958422296716948,1.3520668416408985,0.5665184872316974,COMPLETE
4,0.46165972222222224,2026-08-13 20:17:24.010296,2026-08-13 20:18:26.445050,0 days 00:01:02.434754,2.445391877374626,1.357013363071501,0.5303275961604885,0.5246789304965721,COMPLETE
5,0.0,2026-08-13 20:18:26.445050,2026-08-13 20:18:35.491391,0 days 00:00:09.046341,1.6536984056323296,1.2585820939151011,1.967927513349146,0.5096213538975256,PRUNED
6,0.60825,2026-08-13 20:18:35.491391,2026-08-13 20:19:49.533803,0 days 00:01:14.042412,0.858383218522616,1.4391358087545423,0.6774116388033998,0.4379644595973857,COMPLETE
7,0.0,2026-08-13 20:19:49.533803,2026-08-13 20:19:56.139533,0 days 00:00:06.605730,1.1613890302615675,1.2516570583776385,1.2827724826251075,0.3365978729957356,PRUNED
8,0.0,2026-08-13 20:19:56.139533,2026-08-13 20:20:05.996844,0 days 00:00:09.857311,0.5469745010908879,1.0793990467834649,1.1842254983248228,0.4057952769908918,PRUNED
9,0.0,2026-08-13 20:20:05.996844,2026-08-13 20:20:16.696508,0 days 00:00:10.699664,2.8593701962865605,1.150002329013832,1.418143584083632,0.4276202985936406,PRUNED
10,0.0,2026-08-13 20:20:16.696508,2026-08-13 20:20:23.366642,0 days 00:00:06.670134,1.9285043661608299,0.7503541636519373,1.6495084383675955,0.17489652611671197,PRUNED
11,0.0,2026-08-13 20:20:23.366642,2026-08-13 20:20:30.831644,0 days 00:00:07.465002,1.134182405979963,0.8880881318678957,0.7052397312039637,0.34569023118670517,PRUNED
12,0.0,2026-08-13 20:20:30.831644,2026-08-13 20:20:38.216203,0 days 00:00:07.384559,2.1155033701764534,1.476885850313428,0.9223703104437484,0.4843811523419831,PRUNED
13,0.4630972222222222,2026-08-13 20:20:38.216203,2026-08-13 20:21:35.128393,0 days 00:00:56.912190,1.1024931606811696,0.7379531296998316,0.8512730022067754,0.5902449718093099,COMPLETE
14,0.45118749999999996,2026-08-13 20:21:35.128393,2026-08-13 20:21:48.996300,0 days 00:00:13.867907,1.5051248283457932,0.48094330462414925,1.6249195481084193,0.23317489028801075,PRUNED
15,0.7430763888888889,2026-08-13 20:21:48.996300,2026-08-13 20:23:22.876125,0 days 00:01:33.879825,2.905256604573051,0.6927269978872858,0.511999664030524,0.3863154804367229,COMPLETE
16,0.30983333333333335,2026-08-13 20:23:22.876125,2026-08-13 20:24:04.946296,0 days 00:00:42.070171,2.9539578727773446,0.66986890562979,0.9543555006395639,0.27537036932969505,COMPLETE
17,0.0,2026-08-13 20:24:04.946296,2026-08-13 20:24:14.096066,0 days 00:00:09.149770,2.576431228838158,0.8743198303939836,1.616764161728012,0.3742815459357357,PRUNED
18,0.0,2026-08-13 20:24:14.096066,2026-08-13 20:24:27.598417,0 days 00:00:13.502351,2.119231096322088,0.6243310674372824,0.5319581232275825,0.47611427535409323,PRUNED
19,0.0,2026-08-13 20:24:27.598417,2026-08-13 20:24:35.087705,0 days 00:00:07.489288,2.627495161061193,0.9123001600875137,1.0239806058118166,0.2553398900140952,PRUNED
20,0.0,2026-08-13 20:24:35.087705,2026-08-13 20:24:44.200674,0 days 00:00:09.112969,2.224623344392036,1.0668785321383067,1.7930305032296405,0.3852530588039593,PRUNED
21,0.45992361111111113,2026-08-13 20:24:44.200674,2026-08-13 20:25:46.044932,0 days 00:01:01.844258,0.8260427258096271,0.418676594826331,0.7161667885929804,0.4525414011508411,COMPLETE
22,0.46221527777777777,2026-08-13 20:25:46.044932,2026-08-13 20:26:46.590329,0 days 00:01:00.545397,1.8330199214704865,0.7920291377900806,0.7197469462468783,0.5332980440121637,COMPLETE
23,0.7547430555555555,2026-08-13 20:26:46.590329,2026-08-13 20:28:05.135457,0 days 00:01:18.545128,1.2781080183829037,0.6233579835684661,0.6241668522339101,0.4040602396241207,COMPLETE
24,0.6019097222222222,2026-08-13 20:28:05.135457,2026-08-13 20:29:22.967599,0 days 00:01:17.832142,1.396727570371041,0.5874262052867776,0.5284112331543874,0.29608744851741536,COMPLETE
25,0.3128263888888889,2026-08-13 20:29:22.967599,2026-08-13 20:30:14.998503,0 days 00:00:52.030904,2.791507745017848,0.5796889541395721,0.8069632101966169,0.3786757422082319,COMPLETE
26,0.6072708333333333,2026-08-13 20:30:14.998503,2026-08-13 20:31:17.676817,0 days 00:01:02.678314,2.281540423035875,0.7036825757207675,1.1051069754373617,0.4038190715682186,COMPLETE
27,0.0,2026-08-13 20:31:17.676817,2026-08-13 20:31:24.254388,0 days 00:00:06.577571,1.8506576446667324,0.8233530193169258,1.4699849569929153,0.47077560613687297,PRUNED
28,0.0,2026-08-13 20:31:24.254388,2026-08-13 20:31:35.283067,0 days 00:00:11.028679,1.3565743974142974,1.0180228890356744,0.6316717001735684,0.35263302393667456,PRUNED
29,0.15804166666666666,2026-08-13 20:31:35.283067,2026-08-13 20:32:09.083094,0 days 00:00:33.800027,1.5965912351846088,0.5230428109989378,1.1933706285643326,0.4235725959797588,COMPLETE
30,0.45208333333333334,2026-08-13 20:32:09.083094,2026-08-13 20:33:13.108339,0 days 00:01:04.025245,2.673515715923728,1.2041982613825792,0.8115823052243385,0.30269655382612454,COMPLETE
31,0.6064444444444445,2026-08-13 20:33:13.108339,2026-08-13 20:34:30.135846,0 days 00:01:17.027507,0.9719956662383122,1.4772651908331431,0.6700040851173513,0.44524091038817337,COMPLETE
32,0.0,2026-08-13 20:34:30.135846,2026-08-13 20:34:41.181922,0 days 00:00:11.046076,0.849133501543457,0.953662287620696,0.6090584506586254,0.4922647854341734,PRUNED
33,0.7571597222222222,2026-08-13 20:34:41.181922,2026-08-13 20:36:04.642704,0 days 00:01:23.460782,0.638697220157183,1.3804411361653441,0.6247208711938068,0.45501708120037154,COMPLETE
34,0.6091805555555556,2026-08-13 20:36:04.642704,2026-08-13 20:37:21.156147,0 days 00:01:16.513443,0.5720946407426437,1.3101826005912813,0.5033978835178822,0.5493534501922849,COMPLETE
35,0.46159027777777784,2026-08-13 20:37:21.156147,2026-08-13 20:38:23.907283,0 days 00:01:02.751136,2.397061743548689,1.3807476167702848,0.7886302878246074,0.5153661233372119,COMPLETE
