number,value,datetime_start,datetime_complete,duration,params_goal_connect_dist,params_goal_sample_rate,params_max_iter,params_replan_interval,params_step_size,state
0,0.157625,2026-08-13 22:09:10.354216,2026-08-13 22:09:48.443050,0 days 00:00:38.088834,4.179532731987587,0.30031627823034684,1023,1.5591369983472618,3.195254015709299,COMPLETE
1,0.4602916666666667,2026-08-13 22:09:48.443050,2026-08-13 22:10:46.308517,0 days 00:00:57.865467,5.854651042004117,0.20315552394194242,1371,1.4586037970644443,3.5835764522666245,COMPLETE
2,0.31121527777777774,2026-08-13 22:10:46.308517,2026-08-13 22:11:26.912898,0 days 00:00:40.604381,5.702386553170644,0.23511322191351658,982,0.6775901454947173,4.166900152330658,COMPLETE
3,0.4607777777777778,2026-08-13 22:11:26.912898,2026-08-13 22:12:24.654989,0 days 00:00:57.742091,5.1126270037994015,0.057076439104114,1299,2.6750303706170477,1.3485171988061628,COMPLETE
4,0.31135416666666665,2026-08-13 22:12:24.654989,2026-08-13 22:13:08.715909,0 days 00:00:44.060920,5.122116705145822,0.32970549747585326,854,0.795686064672333,4.914473368931056,COMPLETE
5,0.3067708333333333,2026-08-13 22:13:08.715909,2026-08-13 22:14:09.489437,0 days 00:01:00.773528,4.087393287000287,0.10017365059316624,1434,1.5366548499763089,3.5596840853100953,COMPLETE
6,0.4605694444444444,2026-08-13 22:14:09.489437,2026-08-13 22:15:07.282964,0 days 00:00:57.793527,4.273735795474594,0.32098179130197585,847,0.5469745010908879,2.058222448418508,COMPLETE
7,0.3067708333333333,2026-08-13 22:15:07.282964,2026-08-13 22:16:08.559681,0 days 00:01:01.276717,5.774992314058497,0.26423350295284753,1040,2.2045507477587085,3.4705419883035082,COMPLETE
8,0.157625,2026-08-13 22:16:08.559681,2026-08-13 22:16:48.292098,0 days 00:00:39.732417,2.2409018865170793,0.20296118382976952,1137,2.166916788614169,2.438031602295144,COMPLETE
9,0.4604305555555555,2026-08-13 22:16:48.292098,2026-08-13 22:17:50.043945,0 days 00:01:01.751847,3.2617134036967355,0.12363389637584432,454,1.4092769273565566,3.6825514784726376,COMPLETE
10,0.45445138888888886,2026-08-13 22:17:50.043945,2026-08-13 22:19:02.645032,0 days 00:01:12.601087,2.080183372697779,0.3886738963755816,324,2.8841332942848625,1.0813378864997232,COMPLETE
11,0.30711805555555555,2026-08-13 22:19:02.645032,2026-08-13 22:20:00.753820,0 days 00:00:58.108788,4.680788171418588,0.07078076236050168,620,2.984798044099574,1.54745320555685,COMPLETE
