success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,539,269.0,241.318,295.8,0.8158,0.8639,57.903,0.222,1,28,0.0519,0.0552,0,0.0,0.896,0.08,0.054,0.167,39,dwa
False,collision,461,230.0,211.807,295.8,0.716,0.7387,88.346,0.203,1,22,0.0477,0.0507,0,0.0,0.92,0.08,0.043,0.147,40,dwa
False,collision,447,223.0,204.31,295.8,0.6907,0.7162,91.964,0.339,1,14,0.0313,0.0326,0,0.0,0.915,0.048,0.038,0.134,41,dwa
False,collision,474,236.5,214.15,295.8,0.724,0.7596,82.369,0.273,1,20,0.0422,0.0478,0,0.0,0.904,0.059,0.085,0.31,42,dwa
False,collision,524,261.5,241.72,295.8,0.8172,0.8398,54.964,0.364,1,17,0.0324,0.0352,0,0.0,0.923,0.05,0.026,0.076,43,dwa
False,collision,499,249.0,219.108,295.8,0.7407,0.7997,78.876,0.33,1,27,0.0541,0.0554,0,0.0,0.879,0.092,0.113,0.386,44,dwa
False,collision,472,235.5,218.3,295.8,0.738,0.7563,77.988,0.295,1,8,0.0169,0.0169,0,0.0,0.926,0.044,0.021,0.057,45,dwa
False,collision,457,228.0,211.05,295.8,0.7135,0.7323,85.11,0.351,1,8,0.0175,0.0182,0,0.0,0.925,0.041,0.019,0.054,46,dwa
False,collision,545,272.0,246.7,295.8,0.834,0.8736,50.794,0.029,1,21,0.0385,0.039,0,0.0,0.906,0.067,0.04,0.125,47,dwa
False,collision,479,239.0,213.899,295.8,0.7231,0.7676,83.028,0.271,1,38,0.0793,0.0793,0,0.0,0.894,0.058,0.069,0.22,48,dwa
False,collision,478,238.5,218.5,295.8,0.7387,0.766,78.179,0.385,1,13,0.0272,0.0275,0,0.0,0.915,0.046,0.039,0.126,49,dwa
False,collision,463,231.0,209.62,295.8,0.7087,0.7419,87.335,0.184,1,17,0.0367,0.0367,0,0.0,0.906,0.063,0.075,0.266,50,dwa
False,collision,470,234.5,212.797,295.8,0.7194,0.7531,84.761,0.124,1,17,0.0362,0.0373,0,0.0,0.906,0.061,0.047,0.145,51,dwa
False,max_time,1801,900.0,116.22,295.8,0.3929,2.8905,179.874,0.513,0,6,0.0033,0.0033,0,0.0,0.129,0.036,0.005,0.018,52,dwa
False,collision,453,226.0,206.72,295.8,0.6989,0.7258,89.871,0.174,1,30,0.0662,0.0668,0,0.0,0.914,0.056,0.034,0.099,53,dwa
False,collision,443,221.0,204.86,295.8,0.6926,0.7098,91.23,0.267,1,8,0.0181,0.0191,0,0.0,0.926,0.04,0.02,0.058,54,dwa
False,collision,201,100.0,91.72,295.8,0.3101,0.3212,205.733,0.005,1,6,0.0299,0.0299,0,0.0,0.915,0.078,0.031,0.073,55,dwa
False,collision,456,227.5,209.75,295.8,0.7091,0.7306,86.758,0.361,1,28,0.0614,0.0675,0,0.0,0.921,0.049,0.029,0.093,56,dwa
False,collision,487,243.0,213.67,295.8,0.7223,0.7804,84.338,0.353,1,28,0.0575,0.0575,0,0.0,0.878,0.064,0.073,0.252,57,dwa
False,collision,473,236.0,212.249,295.8,0.7175,0.7579,87.672,0.307,1,19,0.0402,0.0406,0,0.0,0.898,0.078,0.053,0.167,58,dwa
False,collision,459,229.0,207.64,295.8,0.702,0.7355,90.101,0.275,1,31,0.0675,0.0677,0,0.0,0.906,0.063,0.058,0.188,59,dwa
False,collision,447,223.0,206.26,295.8,0.6973,0.7162,90.021,0.021,1,7,0.0157,0.0157,0,0.0,0.924,0.046,0.02,0.052,60,dwa
False,collision,494,246.5,221.47,295.8,0.7487,0.7917,75.751,0.016,1,46,0.0931,0.0931,0,0.0,0.897,0.071,0.071,0.228,61,dwa
False,collision,502,250.5,227.11,295.8,0.7678,0.8045,69.548,0.371,1,28,0.0558,0.0585,0,0.0,0.906,0.053,0.084,0.294,62,dwa
False,collision,527,263.0,239.328,295.8,0.8091,0.8447,57.98,0.332,1,27,0.0512,0.0529,0,0.0,0.909,0.061,0.055,0.173,63,dwa
False,collision,489,244.0,219.966,295.8,0.7436,0.7836,78.196,0.385,1,18,0.0368,0.039,0,0.0,0.9,0.068,0.051,0.142,64,dwa
False,max_time,1801,900.0,126.95,295.8,0.4292,2.8905,169.014,0.541,0,18,0.01,0.01,0,0.0,0.141,0.035,0.009,0.033,65,dwa
False,collision,458,228.5,207.32,295.8,0.7009,0.7339,88.896,0.367,1,11,0.024,0.0242,0,0.0,0.906,0.044,0.022,0.067,66,dwa
False,collision,484,241.5,221.18,295.8,0.7477,0.7756,75.834,0.38,1,21,0.0434,0.0437,0,0.0,0.915,0.056,0.041,0.132,67,dwa
