success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,447,223.0,204.19,295.8,0.6903,0.7162,92.477,0.385,1,22,0.0492,0.0554,0,0.0,0.914,0.058,0.042,0.13,38,dwa
False,collision,462,230.5,213.2,295.8,0.7208,0.7403,82.9,0.234,1,16,0.0346,0.038,0,0.0,0.924,0.042,0.021,0.062,39,dwa
False,collision,73,36.0,33.19,295.8,0.1122,0.1156,262.744,0.118,1,4,0.0548,0.0548,0,0.0,0.915,0.103,0.067,0.21,40,dwa
False,collision,497,248.0,224.959,295.8,0.7605,0.7965,76.734,0.143,1,40,0.0805,0.0832,0,0.0,0.906,0.086,0.049,0.146,41,dwa
False,collision,497,248.0,224.804,295.8,0.76,0.7965,74.923,0.052,1,19,0.0382,0.0433,0,0.0,0.905,0.088,0.049,0.154,42,dwa
False,collision,524,261.5,242.17,295.8,0.8187,0.8398,54.893,0.294,1,23,0.0439,0.0467,0,0.0,0.925,0.057,0.026,0.072,43,dwa
False,collision,650,324.5,294.746,295.8,0.9964,1.0422,3.866,0.304,1,43,0.0662,0.0667,0,0.0,0.908,0.08,0.076,0.264,44,dwa
True,goal_reached,685,342.0,304.192,295.8,1.0284,1.0984,0.214,0.446,0,36,0.0526,0.0526,0,0.0,0.889,0.089,0.035,0.099,45,dwa
False,collision,475,237.0,217.968,295.8,0.7369,0.7612,80.088,0.103,1,11,0.0232,0.0238,0,0.0,0.919,0.07,0.025,0.068,46,dwa
True,goal_reached,675,337.0,301.657,295.8,1.0198,1.0823,0.226,0.433,0,28,0.0415,0.0437,0,0.0,0.894,0.091,0.048,0.127,47,dwa
False,collision,591,295.0,268.31,295.8,0.9071,0.9474,29.905,0.152,1,42,0.0711,0.0712,0,0.0,0.909,0.067,0.062,0.204,48,dwa
False,collision,476,237.5,220.26,295.8,0.7446,0.7628,76.74,0.202,1,16,0.0336,0.0339,0,0.0,0.926,0.054,0.023,0.068,49,dwa
False,collision,486,242.5,221.78,295.8,0.7498,0.7788,75.064,0.187,1,19,0.0391,0.0391,0,0.0,0.913,0.076,0.061,0.215,50,dwa
False,collision,440,219.5,204.06,295.8,0.6899,0.705,92.3,0.252,1,13,0.0295,0.0305,0,0.0,0.928,0.043,0.016,0.044,51,dwa
False,collision,445,222.0,204.91,295.8,0.6927,0.713,91.813,0.099,1,14,0.0315,0.0316,0,0.0,0.922,0.05,0.023,0.068,52,dwa
False,collision,468,233.5,214.608,295.8,0.7255,0.7499,84.254,0.258,1,27,0.0577,0.0583,0,0.0,0.918,0.078,0.04,0.125,53,dwa
False,collision,468,233.5,216.148,295.8,0.7307,0.7499,80.886,0.312,1,14,0.0299,0.032,0,0.0,0.925,0.057,0.025,0.072,54,dwa
False,collision,504,251.5,219.879,295.8,0.7433,0.8077,80.634,0.315,1,22,0.0437,0.047,0,0.0,0.874,0.083,0.038,0.113,55,dwa
False,collision,133,66.0,61.72,295.8,0.2087,0.212,234.354,0.143,1,15,0.1128,0.1128,0,0.0,0.931,0.042,0.017,0.037,56,dwa
False,collision,476,237.5,216.885,295.8,0.7332,0.7628,84.536,0.335,1,23,0.0483,0.0483,0,0.0,0.912,0.069,0.048,0.14,57,dwa
False,collision,468,233.5,211.947,295.8,0.7165,0.7499,86.288,0.361,1,10,0.0214,0.0216,0,0.0,0.907,0.067,0.036,0.12,58,dwa
False,collision,172,85.5,79.7,295.8,0.2694,0.2746,216.322,0.122,1,16,0.093,0.093,0,0.0,0.929,0.041,0.029,0.091,59,dwa
False,collision,449,224.0,208.07,295.8,0.7034,0.7194,88.34,0.2,1,7,0.0156,0.0157,0,0.0,0.928,0.049,0.016,0.043,60,dwa
False,collision,518,258.5,235.905,295.8,0.7975,0.8302,67.342,0.258,1,47,0.0907,0.0907,0,0.0,0.912,0.09,0.052,0.174,61,dwa
False,collision,90,44.5,39.07,295.8,0.1321,0.1429,256.813,0.128,1,2,0.0222,0.0222,0,0.0,0.873,0.04,0.219,0.796,62,dwa
True,goal_reached,661,330.0,298.795,295.8,1.0101,1.0598,0.22,0.51,0,40,0.0605,0.063,0,0.0,0.905,0.075,0.049,0.147,63,dwa
False,collision,445,222.0,206.76,295.8,0.699,0.713,89.499,0.312,1,7,0.0157,0.0169,0,0.0,0.93,0.043,0.011,0.027,64,dwa
False,max_time,1801,900.0,127.03,295.8,0.4294,2.8905,169.007,0.483,0,16,0.0089,0.0089,0,0.0,0.141,0.037,0.006,0.018,65,dwa
False,collision,546,272.5,247.609,295.8,0.8371,0.8752,51.843,0.328,1,28,0.0513,0.0513,0,0.0,0.908,0.078,0.05,0.152,66,dwa
False,collision,629,314.0,277.71,295.8,0.9388,1.0085,27.17,0.192,1,45,0.0715,0.0721,0,0.0,0.884,0.128,0.088,0.275,67,dwa
False,max_time,1801,900.0,151.1,295.8,0.5108,2.8905,145.049,0.624,0,6,0.0033,0.0033,0,0.0,0.168,0.036,0.003,0.007,68,dwa
False,collision,462,230.5,213.38,295.8,0.7214,0.7403,83.093,0.093,1,14,0.0303,0.0303,0,0.0,0.925,0.051,0.023,0.073,69,dwa
False,collision,478,238.5,213.598,295.8,0.7221,0.766,83.634,0.255,1,17,0.0356,0.0374,0,0.0,0.895,0.08,0.09,0.315,70,dwa
False,collision,514,256.5,236.47,295.8,0.7994,0.8238,60.144,0.185,1,27,0.0525,0.0526,0,0.0,0.921,0.052,0.024,0.068,71,dwa
False,collision,460,229.5,208.35,295.8,0.7044,0.7371,88.109,0.308,1,15,0.0326,0.0326,0,0.0,0.907,0.045,0.022,0.065,72,dwa
False,collision,493,246.0,224.51,295.8,0.759,0.7901,72.628,0.33,1,23,0.0467,0.0468,0,0.0,0.912,0.061,0.029,0.088,73,dwa
False,max_time,1801,900.0,151.348,295.8,0.5117,2.8905,147.651,0.447,0,11,0.0061,0.0061,0,0.0,0.168,0.045,0.012,0.038,74,dwa
False,collision,442,220.5,204.91,295.8,0.6927,0.7082,91.733,0.258,1,18,0.0407,0.0407,0,0.0,0.928,0.053,0.017,0.045,75,dwa
False,collision,105,52.0,47.87,295.8,0.1618,0.167,247.988,0.127,1,3,0.0286,0.0286,0,0.0,0.916,0.037,0.068,0.238,76,dwa
False,collision,553,276.0,251.719,295.8,0.851,0.8864,50.988,0.179,1,19,0.0344,0.0344,0,0.0,0.911,0.112,0.054,0.164,77,dwa
False,collision,158,78.5,73.32,295.8,0.2479,0.2521,222.532,0.137,1,4,0.0253,0.0253,0,0.0,0.931,0.035,0.013,0.031,78,dwa
False,collision,454,226.5,207.94,295.8,0.703,0.7274,89.099,0.077,1,9,0.0198,0.0201,0,0.0,0.917,0.066,0.058,0.209,79,dwa
False,collision,451,225.0,209.05,295.8,0.7067,0.7226,87.565,0.243,1,10,0.0222,0.0233,0,0.0,0.928,0.047,0.015,0.044,80,dwa
False,collision,486,242.5,225.44,295.8,0.7621,0.7788,71.311,0.057,1,11,0.0226,0.0226,0,0.0,0.929,0.051,0.02,0.062,81,dwa
False,collision,453,226.0,208.878,295.8,0.7061,0.7258,88.154,0.307,1,18,0.0397,0.04,0,0.0,0.923,0.057,0.028,0.075,82,dwa
False,collision,574,286.5,258.782,295.8,0.8749,0.9201,46.015,0.202,1,38,0.0662,0.0663,0,0.0,0.902,0.103,0.055,0.173,83,dwa
False,collision,502,250.5,230.127,295.8,0.778,0.8045,68.359,0.33,1,18,0.0359,0.0363,0,0.0,0.918,0.075,0.04,0.101,84,dwa
False,collision,465,232.0,215.69,295.8,0.7292,0.7451,81.037,0.309,1,10,0.0215,0.0224,0,0.0,0.929,0.049,0.021,0.064,85,dwa
False,collision,464,231.5,208.63,295.8,0.7053,0.7435,87.542,0.297,1,21,0.0453,0.0487,0,0.0,0.9,0.044,0.062,0.197,86,dwa
False,collision,479,239.0,219.429,295.8,0.7418,0.7676,78.412,0.113,1,17,0.0355,0.0359,0,0.0,0.917,0.066,0.04,0.13,87,dwa
False,collision,631,315.0,288.398,295.8,0.975,1.0117,9.77,0.108,1,40,0.0634,0.0651,0,0.0,0.915,0.067,0.039,0.111,88,dwa
