global_planner,algorithm,seed_sd,layer
astar,lstm_rl_upstream,0.07604092465391396,jupedsim
astar,mpc,0.04903513479582211,jupedsim
astar,mpc_dompc,0.06746192341692543,jupedsim
astar,orca,0.08630694577430535,jupedsim
astar,orca_heuristic,0.06380525927469546,jupedsim
astar,rrt,0.10507140429250958,jupedsim
astar,sarl,0.061970675830363114,jupedsim
astar,sarl_upstream,0.09392668535736914,jupedsim
astar,teb,0.1221292575739145,jupedsim
astar,teb_upstream,0.07318166133366713,jupedsim
dijkstra,astar,0.07183313998427188,jupedsim
dijkstra,cadrl,0.05947922139518789,jupedsim
dijkstra,cadrl_upstream,0.07568942389058651,jupedsim
dijkstra,crowdnav_attngraph,0.08110350040397625,jupedsim
dijkstra,crowdnav_dsrnn,0.0899629553390357,jupedsim
dijkstra,dijkstra,0.12117938952001879,jupedsim
dijkstra,dwa,0.08443274772793367,jupedsim
dijkstra,lstm_rl,0.07378647873726217,jupedsim
dijkstra,lstm_rl_upstream,0.071336448530109,jupedsim
dijkstra,mpc,0.05750362307426086,jupedsim
dijkstra,mpc_dompc,0.07845734863959879,jupedsim
dijkstra,orca,0.0947511360236793,jupedsim
dijkstra,orca_heuristic,0.08804039476916896,jupedsim
dijkstra,rrt,0.11822765233978799,jupedsim
dijkstra,sarl,0.06036929557951392,jupedsim
dijkstra,sarl_upstream,0.10338708279513883,jupedsim
dijkstra,teb,0.1368860028555797,jupedsim
dijkstra,teb_upstream,0.09104333522498445,jupedsim
rrt,astar,0.04341018825626587,jupedsim
rrt,cadrl,0.06586180818788517,jupedsim
rrt,cadrl_upstream,0.04263540521418529,jupedsim
rrt,crowdnav_attngraph,0.08710595744647137,jupedsim
rrt,crowdnav_dsrnn,0.05966573556070518,jupedsim
rrt,dijkstra,0.08816650913659524,jupedsim
rrt,dwa,0.07133644853010894,jupedsim
rrt,lstm_rl,0.08436098279210628,jupedsim
rrt,lstm_rl_upstream,0.06815016100086958,jupedsim
rrt,mpc,0.05855647015608163,jupedsim
rrt,mpc_dompc,0.06494442068244027,jupedsim
rrt,orca,0.07105553383719589,jupedsim
rrt,orca_heuristic,0.09104333522498444,jupedsim
rrt,rrt,0.06915361322607969,jupedsim
rrt,sarl,0.07796281645558752,jupedsim
rrt,sarl_upstream,0.07306009702825321,jupedsim
rrt,teb,0.09617114374327099,jupedsim
rrt,teb_upstream,0.08154071920757683,jupedsim
