time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1999,3.993,-0.03491,0.4,-0.06981,295.8001,2.8002,walk_east_mid.0,590.5649,0.4,-0.06981,0.4,-0.06981,Sidewalk
1.0,2.5996,4.007,0.03491,0.8,0.13963,295.4004,2.749,walk_east_mid.0,588.6224,0.8,0.13963,0.8,0.13963,Sidewalk
1.5,3.0155,4.0654,0.13963,0.84,0.20944,294.9845,2.7226,walk_east_mid.0,587.5549,0.84,0.20944,0.84,0.20944,Sidewalk
2.0,3.4068,4.1486,0.20944,0.8,0.13963,294.5932,2.722,walk_east_mid.0,586.6492,0.8,0.13963,0.8,0.13963,Sidewalk
2.5,3.8143,4.2502,0.24435,0.84,0.06981,294.1858,2.7403,walk_east_mid.0,585.5986,0.84,0.06981,0.84,0.06981,Sidewalk
3.0,4.2607,4.3615,0.24435,0.92,-0.0,293.7396,2.7251,walk_east_mid.0,584.483,0.92,-0.0,0.92,-0.0,Sidewalk
3.5,4.6813,4.4509,0.20944,0.86,-0.06981,293.3191,2.7099,walk_east_mid.0,584.3556,0.86,-0.06981,0.86,-0.06981,Sidewalk
4.0,5.0921,4.5382,0.20944,0.84,-0.0,292.9084,2.6727,walk_east_mid.0,583.0374,0.84,-0.0,0.84,-0.0,Sidewalk
4.5,5.555,4.6198,0.17453,0.94,-0.06981,292.4457,2.622,walk_east_mid.0,582.4348,0.94,-0.06981,0.94,-0.06981,Sidewalk
5.0,6.0247,4.6034,-0.03491,0.94,-0.41888,291.976,2.5237,walk_east_mid.0,581.9847,0.94,-0.41888,0.94,-0.41888,Sidewalk
5.5,6.4875,4.5218,-0.17453,0.94,-0.27925,291.5129,2.425,walk_east_mid.0,581.0876,0.94,-0.27925,0.94,-0.27925,Sidewalk
6.0,6.8866,4.4939,-0.06981,0.8,0.20944,291.1139,2.3788,walk_east_mid.0,579.9001,0.8,0.20944,0.8,0.20944,Sidewalk
6.5,7.3466,4.4939,-0.0,0.92,0.13963,290.6539,2.2949,walk_east_mid.0,578.602,0.92,0.13963,0.92,0.13963,Sidewalk
7.0,7.8163,4.5103,0.03491,0.94,0.06981,290.1842,2.1887,walk_east_mid.0,578.0764,0.94,0.06981,0.94,0.06981,Sidewalk
