success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,419,209.0,212.73,295.85,0.719,0.8477,84.463,0.363,1,11,0.0263,0.0263,0,0.0,1.016,0.078,0.153,0.523,1,dwa
False,collision,55,27.0,22.14,295.85,0.0748,0.1095,273.798,0.241,1,8,0.1455,0.1455,0,0.0,0.811,0.123,0.293,1.042,2,dwa
False,max_time,841,420.0,171.48,295.85,0.5796,1.7036,124.833,0.544,0,12,0.0143,0.0143,0,0.0,0.408,0.035,0.048,0.157,3,dwa
False,collision,502,250.5,233.037,295.85,0.7877,1.0161,85.63,0.18,1,8,0.0159,0.017,0,0.0,0.929,0.153,0.194,0.629,4,dwa
False,max_time,841,420.0,129.36,295.85,0.4372,1.7036,166.775,0.888,0,0,0.0,0.0,0,0.0,0.308,0.029,0.011,0.037,5,dwa
False,max_time,841,420.0,161.459,295.85,0.5457,1.7036,137.091,0.65,0,6,0.0071,0.0071,0,0.0,0.384,0.066,0.079,0.253,6,dwa
False,collision,505,252.0,227.068,295.85,0.7675,1.0221,71.83,0.309,1,25,0.0495,0.0498,0,0.0,0.9,0.095,0.128,0.365,7,dwa
False,collision,376,187.5,207.03,295.85,0.6998,0.7605,89.986,0.33,1,8,0.0213,0.0222,0,0.0,1.102,0.064,0.06,0.146,8,dwa
False,max_time,841,420.0,168.27,295.85,0.5688,1.7036,128.308,0.609,0,13,0.0155,0.0155,0,0.0,0.401,0.034,0.038,0.111,9,dwa
False,collision,484,241.5,239.273,295.85,0.8088,0.9796,77.468,0.291,1,24,0.0496,0.0496,0,0.0,0.989,0.163,0.167,0.467,10,dwa
False,collision,438,218.5,224.664,295.85,0.7594,0.8863,77.812,0.149,1,13,0.0297,0.0297,0,0.0,1.027,0.121,0.136,0.381,11,dwa
False,collision,370,184.5,207.3,295.85,0.7007,0.7484,88.949,0.273,1,13,0.0351,0.0351,0,0.0,1.121,0.044,0.049,0.142,12,dwa
False,collision,440,219.5,219.149,295.85,0.7407,0.8903,80.77,0.38,1,25,0.0568,0.0583,0,0.0,0.997,0.085,0.095,0.247,13,dwa
False,collision,366,182.5,207.0,295.85,0.6997,0.7402,89.289,0.235,1,4,0.0109,0.0114,0,0.0,1.132,0.041,0.046,0.113,14,dwa
False,max_time,841,420.0,153.66,295.85,0.5194,1.7036,142.669,0.692,0,5,0.0059,0.0059,0,0.0,0.366,0.036,0.029,0.092,15,dwa
False,collision,421,210.0,219.36,295.85,0.7415,0.8518,77.187,0.269,1,14,0.0333,0.0333,0,0.0,1.043,0.056,0.151,0.439,16,dwa
False,max_time,841,420.0,186.024,295.85,0.6288,1.7036,122.961,0.445,0,22,0.0262,0.0262,0,0.0,0.443,0.078,0.068,0.184,17,dwa
False,collision,386,192.5,206.16,295.85,0.6968,0.7808,90.754,0.293,1,18,0.0466,0.0466,0,0.0,1.069,0.062,0.122,0.371,18,dwa
False,collision,397,198.0,211.44,295.85,0.7147,0.8031,86.271,0.279,1,22,0.0554,0.0554,0,0.0,1.066,0.078,0.116,0.338,19,dwa
False,collision,381,190.0,210.78,295.85,0.7125,0.7707,85.525,0.286,1,10,0.0262,0.0279,0,0.0,1.107,0.043,0.094,0.293,20,dwa
False,collision,389,194.0,210.0,295.85,0.7098,0.7869,86.387,0.327,1,7,0.018,0.018,0,0.0,1.08,0.056,0.129,0.383,21,dwa
False,max_time,841,420.0,120.3,295.85,0.4066,1.7036,175.817,0.63,0,10,0.0119,0.0119,0,0.0,0.286,0.03,0.026,0.071,22,dwa
False,collision,404,201.5,204.66,295.85,0.6918,0.8173,92.622,0.295,1,31,0.0767,0.0852,0,0.0,1.014,0.073,0.11,0.321,23,dwa
False,collision,423,211.0,223.919,295.85,0.7569,0.8558,72.965,0.369,1,20,0.0473,0.0473,0,0.0,1.059,0.057,0.1,0.28,24,dwa
False,collision,374,186.5,209.16,295.85,0.707,0.7565,87.291,0.234,1,57,0.1524,0.1592,0,0.0,1.119,0.05,0.067,0.22,25,dwa
False,collision,388,193.5,216.36,295.85,0.7313,0.7849,80.102,0.38,1,11,0.0284,0.0284,0,0.0,1.116,0.055,0.1,0.312,26,dwa
False,collision,417,208.0,218.456,295.85,0.7384,0.8437,83.243,0.304,1,18,0.0432,0.0495,0,0.0,1.048,0.103,0.101,0.242,27,dwa
False,max_time,841,420.0,188.04,295.85,0.6356,1.7036,108.207,0.729,0,2,0.0024,0.0024,0,0.0,0.448,0.032,0.074,0.258,28,dwa
False,collision,559,279.0,268.228,295.85,0.9066,1.1317,50.123,0.258,1,36,0.0644,0.0644,0,0.0,0.96,0.163,0.19,0.547,29,dwa
False,collision,427,213.0,211.38,295.85,0.7145,0.864,85.384,0.224,1,10,0.0234,0.0234,0,0.0,0.991,0.051,0.105,0.313,30,dwa
False,collision,442,220.5,206.19,295.85,0.6969,0.8944,90.562,0.235,1,9,0.0204,0.0204,0,0.0,0.934,0.042,0.085,0.272,31,dwa
False,collision,413,206.0,224.729,295.85,0.7596,0.8356,74.477,0.127,1,15,0.0363,0.0363,0,0.0,1.089,0.074,0.074,0.185,32,dwa
False,collision,511,255.0,241.766,295.85,0.8172,1.0343,70.605,0.377,1,31,0.0607,0.0607,0,0.0,0.947,0.166,0.203,0.538,33,dwa
False,collision,397,198.0,212.46,295.85,0.7181,0.8031,84.696,0.347,1,21,0.0529,0.0529,0,0.0,1.071,0.058,0.114,0.352,34,dwa
False,max_time,841,420.0,106.77,295.85,0.3609,1.7036,189.134,1.357,0,0,0.0,0.0,0,0.0,0.254,0.027,0.008,0.019,35,dwa
False,max_time,841,420.0,122.22,295.85,0.4131,1.7036,173.783,1.162,0,0,0.0,0.0,0,0.0,0.291,0.028,0.006,0.015,36,dwa
False,collision,460,229.5,235.705,295.85,0.7967,0.9309,78.368,0.072,1,24,0.0522,0.0525,0,0.0,1.025,0.173,0.113,0.28,37,dwa
False,max_time,841,420.0,127.44,295.85,0.4308,1.7036,170.518,0.57,0,15,0.0178,0.0178,0,0.0,0.303,0.045,0.044,0.142,38,dwa
False,collision,410,204.5,211.32,295.85,0.7143,0.8295,85.07,0.208,1,28,0.0683,0.0683,0,0.0,1.032,0.057,0.128,0.419,39,dwa
False,collision,375,187.0,206.61,295.85,0.6984,0.7585,89.863,0.331,1,37,0.0987,0.0987,0,0.0,1.103,0.057,0.097,0.315,40,dwa
