time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1999,3.993,-0.03491,0.4,-0.06981,295.8001,2.8002,walk_east_mid.0,590.6002,0.4,-0.06981,0.4,-0.06981,Sidewalk
1.0,2.5977,3.9512,-0.10472,0.8,-0.13963,295.4023,2.8265,walk_east_mid.0,588.3983,0.8,-0.13963,0.8,-0.13963,Sidewalk
1.5,3.0631,3.8858,-0.13963,0.94,-0.06981,294.9369,2.756,walk_east_mid.0,587.3883,0.94,-0.06981,0.94,-0.06981,Sidewalk
2.0,3.5331,3.8858,-0.0,0.94,0.27925,294.4669,2.6403,walk_east_mid.0,586.3888,0.94,0.27925,0.94,0.27925,Sidewalk
2.5,4.0005,3.9349,0.10472,0.94,0.20944,293.9995,2.5194,walk_east_mid.0,585.4579,0.94,0.20944,0.94,0.20944,Sidewalk
3.0,4.4634,4.0165,0.17453,0.94,0.13963,293.5366,2.3959,walk_east_mid.0,584.5897,0.94,0.13963,0.94,0.13963,Sidewalk
3.5,4.9231,4.1143,0.20944,0.94,0.06981,293.0769,2.3552,walk_east_mid.0,583.8188,0.94,0.06981,0.94,0.06981,Sidewalk
4.0,5.3031,4.1143,-0.0,0.76,-0.41888,292.6969,2.3355,walk_east_mid.0,583.7556,0.76,-0.41888,0.76,-0.41888,Sidewalk
4.5,5.762,4.1463,0.06981,0.92,0.13963,292.238,2.2987,walk_east_mid.0,582.5919,0.92,0.13963,0.92,0.13963,Sidewalk
5.0,6.1399,4.1066,-0.10472,0.76,-0.34907,291.8601,2.3314,walk_east_mid.0,582.0091,0.76,-0.34907,0.76,-0.34907,Sidewalk
5.5,6.6028,4.025,-0.17453,0.94,-0.13963,291.3972,2.2284,walk_east_mid.0,580.8553,0.94,-0.13963,0.94,-0.13963,Sidewalk
6.0,7.0625,3.9273,-0.20944,0.94,-0.06981,290.9375,2.1823,walk_east_mid.0,580.0769,0.94,-0.06981,0.94,-0.06981,Sidewalk
6.5,7.3893,3.8336,-0.27925,0.68,-0.13963,290.6107,2.2568,walk_east_mid.0,579.5457,0.68,-0.13963,0.68,-0.13963,Sidewalk
7.0,7.7127,3.7285,-0.31416,0.68,-0.06981,290.2874,2.2963,walk_east_mid.0,578.8001,0.68,-0.06981,0.68,-0.06981,Sidewalk
7.5,8.0741,3.6111,-0.31416,0.76,-0.0,289.9262,2.3458,walk_east_mid.0,577.6803,0.76,-0.0,0.76,-0.0,Sidewalk
8.0,8.5259,3.4815,-0.27925,0.94,0.06981,289.4746,2.3045,walk_east_mid.0,576.0721,0.94,0.06981,0.94,0.06981,Sidewalk
8.5,8.9856,3.3838,-0.20944,0.94,0.13963,289.015,2.2136,walk_east_mid.0,576.8041,0.94,0.13963,0.94,0.13963,Sidewalk
9.0,9.4485,3.3022,-0.17453,0.94,0.06981,288.5524,2.1822,walk_east_mid.0,574.3304,0.94,0.06981,0.94,0.06981,Sidewalk
9.5,9.7144,3.2553,-0.17453,0.54,-0.0,288.2866,2.3152,walk_east_mid.0,575.2374,0.54,-0.0,0.54,-0.0,Sidewalk
10.0,10.1798,3.1899,-0.13963,0.94,0.06981,287.8213,2.2959,walk_east_mid.0,572.7628,0.94,0.06981,0.94,0.06981,Sidewalk
10.5,10.4791,3.169,-0.06981,0.6,0.13963,287.5221,2.3706,walk_east_mid.0,573.9589,0.6,0.13963,0.6,0.13963,Sidewalk
11.0,10.9488,3.1526,-0.03491,0.94,0.06981,287.0525,2.259,walk_east_mid.0,572.1374,0.94,0.06981,0.94,0.06981,Sidewalk
11.5,11.4185,3.1362,-0.03491,0.94,-0.0,286.5828,2.1897,walk_east_mid.0,570.2011,0.94,-0.0,0.94,-0.0,Sidewalk
12.0,11.8885,3.1362,-0.0,0.94,0.06981,286.1128,2.0773,walk_east_mid.0,570.5016,0.94,0.06981,0.94,0.06981,Sidewalk
12.5,12.3585,3.1362,-0.0,0.94,-0.0,285.6428,1.9997,walk_east_mid.0,568.5453,0.94,-0.0,0.94,-0.0,Sidewalk
13.0,12.8282,3.1526,0.03491,0.94,0.06981,285.173,1.8834,walk_east_mid.0,569.2194,0.94,0.06981,0.94,0.06981,Sidewalk
13.5,13.2979,3.169,0.03491,0.94,-0.0,284.7033,1.8172,walk_east_mid.0,566.9262,0.94,-0.0,0.94,-0.0,Sidewalk
14.0,13.5779,3.169,-0.0,0.56,-0.06981,284.4233,1.8784,walk_east_mid.0,567.8302,0.56,-0.06981,0.56,-0.06981,Sidewalk
14.5,14.0479,3.169,-0.0,0.94,-0.0,283.9533,1.7937,walk_east_mid.0,565.2382,0.94,-0.0,0.94,-0.0,Sidewalk
15.0,14.5176,3.1854,0.03491,0.94,0.06981,283.4835,1.7106,walk_east_mid.0,565.509,0.94,0.06981,0.94,0.06981,Sidewalk
15.5,14.9874,3.2018,0.03491,0.94,-0.0,283.0138,1.6435,walk_east_mid.0,563.8757,0.94,-0.0,0.94,-0.0,Sidewalk
16.0,15.3274,3.2018,-0.0,0.68,-0.06981,282.6738,1.6898,walk_east_mid.0,563.9023,0.68,-0.06981,0.68,-0.06981,Sidewalk
16.5,15.7974,3.2018,-0.0,0.94,-0.0,282.2038,1.6389,walk_east_mid.0,561.9675,0.94,-0.0,0.94,-0.0,Sidewalk
17.0,16.2671,3.2182,0.03491,0.94,0.06981,281.734,1.5685,walk_east_mid.0,562.4672,0.94,0.06981,0.94,0.06981,Sidewalk
17.5,16.7368,3.2346,0.03491,0.94,-0.0,281.2643,1.4583,walk_east_mid.0,560.4541,0.94,-0.0,0.94,-0.0,Sidewalk
18.0,17.1468,3.2346,-0.0,0.82,-0.06981,280.8543,1.4123,walk_east_mid.0,559.7398,0.82,-0.06981,0.82,-0.06981,Sidewalk
18.5,17.6168,3.2346,-0.0,0.94,-0.0,280.3843,1.3291,walk_east_mid.0,558.4399,0.94,-0.0,0.94,-0.0,Sidewalk
19.0,18.0865,3.251,0.03491,0.94,0.06981,279.9145,1.2319,walk_east_mid.0,558.4271,0.94,0.06981,0.94,0.06981,Sidewalk
19.5,18.5562,3.2674,0.03491,0.94,-0.0,279.4447,1.154,walk_east_mid.0,557.0915,0.94,-0.0,0.94,-0.0,Sidewalk
20.0,19.0262,3.2674,-0.0,0.94,-0.06981,278.9747,1.0854,walk_east_mid.0,555.5735,0.94,-0.06981,0.94,-0.06981,Sidewalk
20.5,19.4962,3.2674,-0.0,0.94,-0.0,278.5047,1.0508,walk_east_mid.0,554.7844,0.94,-0.0,0.94,-0.0,Sidewalk
21.0,19.9659,3.2838,0.03491,0.94,0.06981,278.035,1.0007,walk_east_mid.0,554.5123,0.94,0.06981,0.94,0.06981,Sidewalk
21.5,20.4356,3.3002,0.03491,0.94,-0.0,277.5652,0.9561,walk_east_mid.0,553.3241,0.94,-0.0,0.94,-0.0,Sidewalk
22.0,20.9056,3.3002,-0.0,0.94,-0.06981,277.0952,0.8977,walk_east_mid.0,552.3063,0.94,-0.06981,0.94,-0.06981,Sidewalk
22.5,21.3756,3.3002,-0.0,0.94,-0.0,276.6252,0.8514,walk_east_mid.0,551.4739,0.94,-0.0,0.94,-0.0,Sidewalk
23.0,21.8454,3.3166,0.03491,0.94,0.06981,276.1555,0.7921,walk_east_mid.0,551.0213,0.94,0.06981,0.94,0.06981,Sidewalk
23.5,22.3151,3.333,0.03491,0.94,-0.0,275.6857,0.7547,walk_east_mid.0,549.924,0.94,-0.0,0.94,-0.0,Sidewalk
24.0,22.7851,3.333,-0.0,0.94,-0.06981,275.2157,0.7114,walk_east_mid.0,548.7438,0.94,-0.06981,0.94,-0.06981,Sidewalk
24.5,23.2551,3.333,-0.0,0.94,-0.0,274.7457,0.6988,walk_east_mid.0,547.8629,0.94,-0.0,0.94,-0.0,Sidewalk
25.0,23.7248,3.3494,0.03491,0.94,0.06981,274.276,0.6662,walk_east_mid.0,547.3346,0.94,0.06981,0.94,0.06981,Sidewalk
25.5,24.1945,3.3658,0.03491,0.94,-0.0,273.8062,0.6516,walk_east_mid.0,546.5408,0.94,-0.0,0.94,-0.0,Sidewalk
26.0,24.6645,3.3658,-0.0,0.94,-0.06981,273.3362,0.8353,walk_east_mid.0,544.156,0.94,-0.06981,0.94,-0.06981,Sidewalk
26.5,25.1345,3.3658,-0.0,0.94,-0.0,272.8662,1.1886,walk_east_mid.0,542.228,0.94,-0.0,0.94,-0.0,Sidewalk
27.0,25.6042,3.3822,0.03491,0.94,0.06981,272.3965,1.2611,walk_east_mid.0,541.2365,0.94,0.06981,0.94,0.06981,Sidewalk
27.5,26.0739,3.3986,0.03491,0.94,-0.0,271.9267,1.2939,walk_east_mid.0,540.2066,0.94,-0.0,0.94,-0.0,Sidewalk
28.0,26.5439,3.3986,-0.0,0.94,-0.06981,271.4567,1.3466,walk_east_mid.0,539.2748,0.94,-0.06981,0.94,-0.06981,Sidewalk
28.5,27.0139,3.3986,-0.0,0.94,-0.0,270.9867,1.4357,walk_east_mid.0,538.1919,0.94,-0.0,0.94,-0.0,Sidewalk
29.0,27.4836,3.415,0.03491,0.94,0.06981,270.517,1.5248,walk_east_mid.0,537.2288,0.94,0.06981,0.94,0.06981,Sidewalk
29.5,27.9534,3.4314,0.03491,0.94,-0.0,270.0472,1.5708,walk_east_mid.0,536.2053,0.94,-0.0,0.94,-0.0,Sidewalk
30.0,28.4234,3.4314,-0.0,0.94,-0.06981,269.5772,1.6621,walk_east_mid.0,535.2727,0.94,-0.06981,0.94,-0.06981,Sidewalk
30.5,28.8934,3.4314,-0.0,0.94,-0.0,269.1072,1.7544,walk_east_mid.0,534.2238,0.94,-0.0,0.94,-0.0,Sidewalk
31.0,29.3631,3.4478,0.03491,0.94,0.06981,268.6375,1.7978,walk_east_mid.0,533.3102,0.94,0.06981,0.94,0.06981,Sidewalk
31.5,29.8328,3.4642,0.03491,0.94,-0.0,268.1678,1.8529,walk_east_mid.0,532.293,0.94,-0.0,0.94,-0.0,Sidewalk
32.0,30.3028,3.4642,-0.0,0.94,-0.06981,267.6978,1.9192,walk_east_mid.0,531.3879,0.94,-0.06981,0.94,-0.06981,Sidewalk
32.5,30.7728,3.4642,-0.0,0.94,-0.0,267.2278,1.9949,walk_east_mid.0,530.3603,0.94,-0.0,0.94,-0.0,Sidewalk
33.0,31.2425,3.4806,0.03491,0.94,0.06981,266.758,2.0654,walk_east_mid.0,529.4447,0.94,0.06981,0.94,0.06981,Sidewalk
33.5,31.7122,3.497,0.03491,0.94,-0.0,266.2883,2.1429,walk_east_mid.0,528.4272,0.94,-0.0,0.94,-0.0,Sidewalk
34.0,32.1822,3.497,-0.0,0.94,-0.06981,265.8183,2.2208,walk_east_mid.0,527.5259,0.94,-0.06981,0.94,-0.06981,Sidewalk
34.5,32.6522,3.497,-0.0,0.94,-0.0,265.3483,2.2942,walk_east_mid.0,526.508,0.94,-0.0,0.94,-0.0,Sidewalk
35.0,33.1219,3.5134,0.03491,0.94,0.06981,264.8785,2.3642,walk_east_mid.0,525.6007,0.94,0.06981,0.94,0.06981,Sidewalk
35.5,33.5916,3.5298,0.03491,0.94,-0.0,264.4088,2.4882,walk_east_mid.0,524.5794,0.94,-0.0,0.94,-0.0,Sidewalk
36.0,34.0616,3.5298,-0.0,0.94,-0.06981,263.9388,2.6138,walk_east_mid.0,523.6745,0.94,-0.06981,0.94,-0.06981,Sidewalk
36.5,34.5316,3.5298,-0.0,0.94,-0.0,263.4688,2.7365,walk_east_mid.0,522.6553,0.94,-0.0,0.94,-0.0,Sidewalk
37.0,35.0013,3.5462,0.03491,0.94,0.06981,262.999,2.8167,walk_east_mid.0,521.7534,0.94,0.06981,0.94,0.06981,Sidewalk
37.5,35.4711,3.5626,0.03491,0.94,-0.0,262.5293,2.9275,walk_east_mid.0,520.7422,0.94,-0.0,0.94,-0.0,Sidewalk
38.0,35.9411,3.5626,-0.0,0.94,-0.06981,262.0593,3.054,walk_east_mid.0,519.8437,0.94,-0.06981,0.94,-0.06981,Sidewalk
38.5,36.4111,3.5626,-0.0,0.94,-0.0,261.5893,3.1095,walk_east_mid.0,518.8397,0.94,-0.0,0.94,-0.0,Sidewalk
39.0,36.8808,3.579,0.03491,0.94,0.06981,261.1196,3.1825,walk_east_mid.0,517.9432,0.94,0.06981,0.94,0.06981,Sidewalk
39.5,37.3505,3.5954,0.03491,0.94,-0.0,260.6498,3.2418,walk_east_mid.0,516.9409,0.94,-0.0,0.94,-0.0,Sidewalk
40.0,37.8205,3.5954,-0.0,0.94,-0.06981,260.1798,3.3117,walk_east_mid.0,516.0507,0.94,-0.06981,0.94,-0.06981,Sidewalk
40.5,38.2905,3.5954,-0.0,0.94,-0.0,259.7098,3.3809,walk_east_mid.0,515.0472,0.94,-0.0,0.94,-0.0,Sidewalk
41.0,38.7602,3.6119,0.03491,0.94,0.06981,259.2401,3.4553,walk_east_mid.0,514.1533,0.94,0.06981,0.94,0.06981,Sidewalk
41.5,39.2299,3.6283,0.03491,0.94,-0.0,258.7703,3.5405,walk_east_mid.0,513.1492,0.94,-0.0,0.94,-0.0,Sidewalk
42.0,39.6999,3.6283,-0.0,0.94,-0.06981,258.3004,3.6544,walk_east_mid.0,512.2553,0.94,-0.06981,0.94,-0.06981,Sidewalk
42.5,40.1699,3.6283,-0.0,0.94,-0.0,257.8304,3.7535,walk_east_mid.0,511.2517,0.94,-0.0,0.94,-0.0,Sidewalk
43.0,40.6396,3.6447,0.03491,0.94,0.06981,257.3606,3.8114,walk_east_mid.0,510.3618,0.94,0.06981,0.94,0.06981,Sidewalk
43.5,41.1093,3.6611,0.03491,0.94,-0.0,256.8909,3.8725,walk_east_mid.0,509.3604,0.94,-0.0,0.94,-0.0,Sidewalk
44.0,41.5793,3.6611,-0.0,0.94,-0.06981,256.4209,3.8501,walk_east_dn.1,508.4771,0.94,-0.06981,0.94,-0.06981,Sidewalk
44.5,42.0493,3.6611,-0.0,0.94,-0.0,255.9509,3.7599,walk_east_dn.1,507.4894,0.94,-0.0,0.94,-0.0,Sidewalk
45.0,42.5191,3.6775,0.03491,0.94,0.06981,255.4811,3.6661,walk_east_dn.1,506.6131,0.94,0.06981,0.94,0.06981,Sidewalk
45.5,42.9888,3.6939,0.03491,0.94,-0.0,255.0114,3.5358,walk_east_dn.1,505.6271,0.94,-0.0,0.94,-0.0,Sidewalk
46.0,43.4588,3.6939,-0.0,0.94,-0.06981,254.5414,3.4077,walk_east_dn.1,504.7532,0.94,-0.06981,0.94,-0.06981,Sidewalk
46.5,43.9288,3.6939,-0.0,0.94,-0.0,254.0714,3.3133,walk_east_dn.1,503.769,0.94,-0.0,0.94,-0.0,Sidewalk
