success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,517,258.0,230.079,295.8,0.7778,0.8286,74.382,0.329,1,28,0.0542,0.0569,0,0.0,0.891,0.15,0.08,0.275,1,dwa
False,collision,69,34.0,30.82,295.8,0.1042,0.1092,265.111,0.183,1,9,0.1304,0.1304,0,0.0,0.899,0.069,0.101,0.332,2,dwa
False,max_time,1801,900.0,171.41,295.8,0.5795,2.8905,124.753,0.546,0,6,0.0033,0.0033,0,0.0,0.191,0.036,0.005,0.016,3,dwa
False,collision,540,269.5,233.065,295.8,0.7879,0.8655,68.309,0.376,1,25,0.0463,0.051,0,0.0,0.864,0.111,0.172,0.584,4,dwa
False,max_time,1801,900.0,130.369,295.8,0.4407,2.8905,166.596,0.457,0,11,0.0061,0.0061,0,0.0,0.145,0.039,0.005,0.016,5,dwa
False,max_time,1801,900.0,173.25,295.8,0.5857,2.8905,123.494,0.64,0,13,0.0072,0.0072,0,0.0,0.193,0.048,0.011,0.038,6,dwa
True,goal_reached,684,341.5,304.171,295.8,1.0283,1.0968,0.217,0.43,0,33,0.0482,0.0482,0,0.0,0.89,0.112,0.058,0.165,7,dwa
False,collision,451,225.0,206.73,295.8,0.6989,0.7226,90.192,0.17,1,13,0.0288,0.0295,0,0.0,0.918,0.06,0.029,0.075,8,dwa
False,max_time,1801,900.0,168.16,295.8,0.5685,2.8905,128.225,0.58,0,7,0.0039,0.0039,0,0.0,0.187,0.037,0.003,0.009,9,dwa
False,collision,204,101.5,91.587,295.8,0.3096,0.326,207.481,0.024,1,25,0.1225,0.1225,0,0.0,0.9,0.126,0.104,0.334,10,dwa
False,collision,504,251.5,231.94,295.8,0.7841,0.8077,65.887,0.088,1,17,0.0337,0.0337,0,0.0,0.921,0.067,0.032,0.096,11,dwa
False,collision,109,54.0,47.03,295.8,0.159,0.1734,249.086,0.149,1,5,0.0459,0.0459,0,0.0,0.867,0.083,0.193,0.701,12,dwa
False,collision,472,235.5,218.06,295.8,0.7372,0.7563,78.466,0.32,1,19,0.0403,0.0416,0,0.0,0.925,0.053,0.025,0.077,13,dwa
False,collision,452,225.5,209.68,295.8,0.7089,0.7242,86.661,0.263,1,7,0.0155,0.0167,0,0.0,0.929,0.046,0.02,0.07,14,dwa
False,max_time,1801,900.0,183.93,295.8,0.6218,2.8905,112.113,0.668,0,7,0.0039,0.0039,0,0.0,0.204,0.036,0.022,0.078,15,dwa
False,collision,543,271.0,248.28,295.8,0.8394,0.8704,52.363,0.228,1,34,0.0626,0.0627,0,0.0,0.915,0.081,0.04,0.122,16,dwa
False,collision,87,43.0,39.85,295.8,0.1347,0.1381,256.329,0.178,1,4,0.046,0.046,0,0.0,0.921,0.121,0.05,0.151,17,dwa
False,collision,471,235.0,211.15,295.8,0.7138,0.7547,86.489,0.114,1,23,0.0488,0.0488,0,0.0,0.897,0.085,0.125,0.457,18,dwa
False,collision,521,260.0,234.994,295.8,0.7944,0.835,65.956,0.158,1,26,0.0499,0.0512,0,0.0,0.903,0.1,0.042,0.117,19,dwa
False,collision,536,267.5,238.977,295.8,0.8079,0.8591,64.829,0.28,1,19,0.0354,0.0354,0,0.0,0.892,0.095,0.047,0.124,20,dwa
False,collision,550,274.5,248.43,295.8,0.8399,0.8816,54.539,0.268,1,22,0.04,0.04,0,0.0,0.904,0.106,0.053,0.148,21,dwa
False,collision,492,245.5,208.308,295.8,0.7042,0.7885,90.713,0.273,1,28,0.0569,0.0571,0,0.0,0.848,0.078,0.113,0.37,22,dwa
