success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,484,241.5,250.728,295.84,0.8475,0.9796,53.95,0.302,1,31,0.064,0.0642,0,0.0,1.037,0.135,0.223,0.682,39,dwa
False,collision,395,197.0,211.77,295.84,0.7158,0.7991,89.606,0.218,1,25,0.0633,0.0689,0,0.0,1.073,0.103,0.232,0.71,40,dwa
False,collision,364,181.5,210.66,295.84,0.7121,0.7362,86.211,0.291,1,7,0.0192,0.0237,0,0.0,1.158,0.054,0.095,0.262,41,dwa
False,collision,450,224.5,234.596,295.84,0.793,0.9106,72.889,0.283,1,29,0.0644,0.0644,0,0.0,1.043,0.135,0.173,0.449,42,dwa
False,max_time,841,420.0,130.03,295.84,0.4395,1.7036,165.996,0.628,0,13,0.0155,0.0155,0,0.0,0.31,0.048,0.091,0.316,43,dwa
False,collision,500,249.5,258.059,295.84,0.8723,1.012,43.621,0.376,1,35,0.07,0.0713,0,0.0,1.033,0.1,0.183,0.494,44,dwa
False,collision,394,196.5,212.57,295.84,0.7185,0.7971,83.651,0.117,1,9,0.0228,0.0241,0,0.0,1.08,0.072,0.304,1.126,45,dwa
False,collision,406,202.5,231.32,295.84,0.7819,0.8214,65.281,0.106,1,26,0.064,0.064,0,0.0,1.14,0.05,0.122,0.323,46,dwa
False,collision,436,217.5,223.9,295.84,0.7568,0.8822,74.535,0.317,1,15,0.0344,0.0354,0,0.0,1.028,0.096,0.308,1.102,47,dwa
False,collision,565,282.0,283.027,295.84,0.9567,1.1439,23.324,0.357,1,43,0.0761,0.0811,0,0.0,1.002,0.151,0.259,0.787,48,dwa
False,collision,372,185.5,210.77,295.84,0.7124,0.7524,85.886,0.142,1,24,0.0645,0.0661,0,0.0,1.134,0.056,0.124,0.354,49,dwa
False,collision,412,205.5,207.97,295.84,0.703,0.8336,88.788,0.308,1,17,0.0413,0.0413,0,0.0,1.01,0.076,0.251,0.817,50,dwa
False,collision,396,197.5,214.22,295.84,0.7241,0.8011,86.04,0.293,1,21,0.053,0.0557,0,0.0,1.083,0.075,0.166,0.473,51,dwa
False,max_time,841,420.0,116.41,295.84,0.3935,1.7036,179.93,0.563,0,32,0.038,0.038,0,0.0,0.277,0.046,0.062,0.204,52,dwa
False,collision,355,177.0,204.8,295.84,0.6923,0.718,91.537,0.039,1,10,0.0282,0.0292,0,0.0,1.155,0.049,0.118,0.337,53,dwa
False,collision,398,198.5,217.439,295.84,0.735,0.8052,86.767,0.16,1,25,0.0628,0.0628,0,0.0,1.093,0.1,0.212,0.671,54,dwa
False,collision,359,179.0,206.55,295.84,0.6982,0.7261,89.799,0.157,1,12,0.0334,0.0334,0,0.0,1.152,0.062,0.107,0.285,55,dwa
False,collision,376,187.5,209.8,295.84,0.7092,0.7605,86.577,0.141,1,16,0.0426,0.0426,0,0.0,1.117,0.071,0.187,0.596,56,dwa
False,collision,385,192.0,211.6,295.84,0.7153,0.7788,85.523,0.263,1,23,0.0597,0.0597,0,0.0,1.1,0.08,0.243,0.78,57,dwa
