number,value,datetime_start,datetime_complete,duration,params_centerline_gain,params_safe_distance,params_time_horizon,state
0,0.6024027777777778,2026-08-11 21:31:44.290687,2026-08-11 21:34:03.421674,0 days 00:02:19.130987,0.11387317092169064,0.4411053504286575,3.7440675196366238,COMPLETE
1,0.6017083333333334,2026-08-11 21:34:03.421674,2026-08-11 21:36:08.006864,0 days 00:02:04.585190,0.042246380742484616,0.45835764522666245,3.724415914984484,COMPLETE
2,0.7450472222222221,2026-08-11 21:36:08.006864,2026-08-11 21:38:32.966221,0 days 00:02:24.959357,0.20761410420015303,0.5854651042004118,3.1879360563134624,COMPLETE
3,0.6008249999999999,2026-08-11 21:38:32.966221,2026-08-11 21:40:41.083533,0 days 00:02:08.117312,0.1477317633429356,0.4115579679011618,2.9172075941288886,COMPLETE
4,0.6026805555555556,2026-08-11 21:40:41.083533,2026-08-11 21:43:57.537197,0 days 00:03:16.453664,0.2329262676497442,0.2284144232791548,3.8402228054696614,COMPLETE
