success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,485,242.0,278.02,295.85,0.9397,0.9816,32.39,0.235,1,24,0.0495,0.0495,0,0.0,1.147,0.229,0.08,0.247,orca,416
False,collision,375,187.0,215.713,295.85,0.7291,0.7585,81.725,0.305,1,10,0.0267,0.0291,0,0.0,1.152,0.062,0.03,0.085,orca,417
False,max_time,841,420.0,125.25,295.85,0.4234,1.7036,171.247,0.82,0,0,0.0,0.0,0,0.0,0.298,0.016,0.008,0.022,orca,418
False,collision,39,19.0,19.95,295.85,0.0674,0.0771,275.954,0.377,1,16,0.4103,0.4103,0,0.0,1.031,0.065,0.121,0.335,orca,419
False,collision,369,184.0,211.183,295.85,0.7138,0.7463,91.157,0.378,1,20,0.0542,0.056,0,0.0,1.149,0.12,0.052,0.149,orca,420
False,collision,122,60.5,67.5,295.85,0.2282,0.2454,228.35,0.394,1,54,0.4426,0.4426,0,0.0,1.109,0.0,0.124,0.43,orca,421
False,max_time,841,420.0,160.5,295.85,0.5425,1.7036,136.134,0.531,0,29,0.0345,0.0345,0,0.0,0.382,0.022,0.015,0.048,orca,422
False,max_time,841,420.0,138.4,295.85,0.4678,1.7036,157.877,0.685,0,22,0.0262,0.0262,0,0.0,0.329,0.025,0.012,0.035,orca,423
False,collision,473,236.0,255.846,295.85,0.8648,0.9572,49.962,0.289,1,132,0.2791,0.2914,0,0.0,1.083,0.189,0.101,0.318,orca,424
True,goal_reached,534,266.5,305.8,295.85,1.0336,1.081,0.197,0.521,0,82,0.1536,0.1783,0,0.0,1.146,0.153,0.078,0.255,orca,425
False,collision,59,29.0,27.65,295.85,0.0935,0.1176,268.2,0.392,1,40,0.678,0.678,0,0.0,0.942,0.0,0.176,0.611,orca,426
False,max_time,841,420.0,121.079,295.85,0.4093,1.7036,175.305,0.656,0,5,0.0059,0.0059,0,0.0,0.288,0.016,0.009,0.021,orca,427
True,goal_reached,516,257.5,299.05,295.85,1.0108,1.0444,0.182,0.69,0,21,0.0407,0.0417,0,0.0,1.16,0.101,0.049,0.152,orca,428
False,collision,541,270.0,290.378,295.85,0.9815,1.0951,21.214,0.357,1,116,0.2144,0.2144,0,0.0,1.075,0.209,0.107,0.384,orca,429
False,collision,488,243.5,272.767,295.85,0.922,0.9877,38.031,0.292,1,25,0.0512,0.0512,0,0.0,1.119,0.253,0.095,0.299,orca,430
False,max_time,841,420.0,168.4,295.85,0.5692,1.7036,127.94,0.655,0,23,0.0273,0.0273,0,0.0,0.401,0.014,0.016,0.052,orca,431
True,goal_reached,509,254.0,301.026,295.85,1.0175,1.0303,0.165,0.673,0,10,0.0196,0.0203,0,0.0,1.183,0.107,0.032,0.107,orca,432
False,collision,383,191.0,222.534,295.85,0.7522,0.7747,78.249,0.278,1,25,0.0653,0.0735,0,0.0,1.163,0.087,0.05,0.148,orca,433
False,collision,423,211.0,234.257,295.85,0.7918,0.8558,70.441,0.227,1,59,0.1395,0.1457,0,0.0,1.109,0.182,0.1,0.335,orca,434
False,max_time,841,420.0,180.85,295.85,0.6113,1.7036,115.395,0.686,0,19,0.0226,0.0237,0,0.0,0.43,0.015,0.009,0.021,orca,435
False,max_time,841,420.0,137.35,295.85,0.4643,1.7036,158.82,0.896,0,0,0.0,0.0,0,0.0,0.327,0.013,0.006,0.013,orca,436
False,collision,95,47.0,51.85,295.85,0.1753,0.1906,244.137,0.384,1,35,0.3684,0.3684,0,0.0,1.095,0.013,0.074,0.237,orca,437
False,collision,482,240.5,280.881,295.85,0.9494,0.9755,23.245,0.371,1,61,0.1266,0.1266,0,0.0,1.167,0.12,0.058,0.182,orca,438
False,max_time,841,420.0,112.293,295.85,0.3796,1.7036,184.056,0.685,0,16,0.019,0.0192,0,0.0,0.267,0.015,0.011,0.033,orca,439
False,collision,483,241.0,260.446,295.85,0.8803,0.9775,42.963,0.205,1,145,0.3002,0.3251,0,0.0,1.079,0.134,0.079,0.284,orca,440
False,collision,147,73.0,86.75,295.85,0.2932,0.2961,209.1,0.392,1,33,0.2245,0.2245,0,0.0,1.182,0.0,0.023,0.052,orca,441
False,collision,54,26.5,30.05,295.85,0.1016,0.1075,265.854,0.378,1,18,0.3333,0.3333,0,0.0,1.119,0.035,0.132,0.408,orca,442
False,collision,474,236.5,269.354,295.85,0.9104,0.9593,30.898,0.286,1,75,0.1582,0.1609,0,0.0,1.138,0.097,0.073,0.251,orca,443
False,max_time,841,420.0,167.35,295.85,0.5657,1.7036,129.352,0.753,0,1,0.0012,0.0012,0,0.0,0.398,0.014,0.015,0.044,orca,444
False,max_time,841,420.0,105.5,295.85,0.3566,1.7036,190.35,0.655,0,38,0.0452,0.0452,0,0.0,0.251,0.0,0.014,0.045,orca,445
False,collision,463,231.0,272.477,295.85,0.921,0.937,29.513,0.317,1,7,0.0151,0.0156,0,0.0,1.178,0.097,0.034,0.09,orca,446
True,goal_reached,528,263.5,303.4,295.85,1.0255,1.0688,0.067,0.409,0,98,0.1856,0.1952,0,0.0,1.15,0.147,0.072,0.265,orca,447
False,max_time,841,420.0,167.55,295.85,0.5663,1.7036,129.31,0.443,0,53,0.063,0.063,0,0.0,0.399,0.025,0.017,0.059,orca,448
True,goal_reached,536,267.5,301.656,295.85,1.0196,1.085,0.074,0.622,0,89,0.166,0.166,0,0.0,1.127,0.133,0.074,0.267,orca,449
False,collision,80,39.5,43.552,295.85,0.1472,0.1602,252.628,0.36,1,15,0.1875,0.1875,0,0.0,1.097,0.138,0.096,0.236,orca,450
False,max_time,841,420.0,169.7,295.85,0.5736,1.7036,127.15,0.599,0,5,0.0059,0.0063,0,0.0,0.404,0.029,0.015,0.04,orca,451
False,collision,378,188.5,207.673,295.85,0.702,0.7646,91.336,0.25,1,120,0.3175,0.3175,0,0.0,1.1,0.084,0.088,0.296,orca,452
False,collision,41,20.0,22.85,295.85,0.0772,0.0811,273.0,0.397,1,14,0.3415,0.3415,0,0.0,1.122,0.0,0.085,0.174,orca,453
True,goal_reached,572,285.5,309.199,295.85,1.0451,1.158,0.165,0.401,0,164,0.2867,0.2867,0,0.0,1.082,0.196,0.119,0.366,orca,454
False,collision,126,62.5,73.45,295.85,0.2483,0.2535,222.429,0.36,1,34,0.2698,0.2698,0,0.0,1.168,0.01,0.066,0.216,orca,455
False,collision,546,272.5,306.284,295.85,1.0353,1.1053,13.29,0.377,1,18,0.033,0.033,0,0.0,1.123,0.333,0.093,0.304,orca,456
False,collision,67,33.0,36.85,295.85,0.1246,0.1339,259.0,0.373,1,32,0.4776,0.4776,0,0.0,1.104,0.0,0.112,0.351,orca,457
False,collision,364,181.5,211.3,295.85,0.7142,0.7362,89.12,0.239,1,26,0.0714,0.0872,0,0.0,1.162,0.088,0.038,0.105,orca,458
False,collision,56,27.5,30.15,295.85,0.1019,0.1115,265.754,0.379,1,24,0.4286,0.4286,0,0.0,1.082,0.034,0.113,0.348,orca,459
False,collision,84,41.5,43.95,295.85,0.1486,0.1683,251.954,0.384,1,56,0.6667,0.6667,0,0.0,1.05,0.03,0.113,0.346,orca,460
False,collision,90,44.5,51.95,295.85,0.1756,0.1805,243.9,0.389,1,32,0.3556,0.3556,0,0.0,1.158,0.0,0.092,0.295,orca,461
True,goal_reached,526,262.5,300.1,295.85,1.0144,1.0647,0.164,0.451,0,60,0.1141,0.1141,0,0.0,1.142,0.098,0.056,0.189,orca,462
