time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.08,3.9972,-0.03491,0.16,-0.06981,295.92,2.9201,walk_east_mid.0,532.9157,0.16,-0.06981,0.16,-0.06981,Sidewalk
1.0,2.2399,3.9916,-0.03491,0.32,-0.0,295.7601,3.1327,walk_east_mid.0,531.7496,0.32,-0.0,0.32,-0.0,Sidewalk
1.5,2.4992,3.9735,-0.06981,0.52,-0.06981,295.5008,3.2264,walk_east_mid.0,530.433,0.52,-0.06981,0.52,-0.06981,Sidewalk
2.0,2.8557,3.9234,-0.13963,0.72,-0.13963,295.1443,3.2741,walk_east_mid.0,529.0324,0.72,-0.13963,0.72,-0.13963,Sidewalk
2.5,3.3087,3.8435,-0.17453,0.92,-0.06981,294.6913,3.2449,walk_east_mid.0,527.5928,0.92,-0.06981,0.92,-0.06981,Sidewalk
3.0,3.7485,3.8282,-0.03491,0.88,0.27925,294.2516,3.19,walk_east_mid.0,527.1879,0.88,0.27925,0.88,0.27925,Sidewalk
3.5,4.1674,3.8574,0.06981,0.84,0.20944,293.8326,3.158,walk_east_mid.0,526.5655,0.84,0.20944,0.84,0.20944,Sidewalk
4.0,4.6032,3.9187,0.13963,0.88,0.13963,293.3969,3.0837,walk_east_mid.0,525.8027,0.88,0.13963,0.88,0.13963,Sidewalk
4.5,5.0629,3.9347,0.03491,0.92,-0.20944,292.9371,2.996,walk_east_mid.0,524.8646,0.92,-0.20944,0.92,-0.20944,Sidewalk
5.0,5.5005,3.9807,0.10472,0.88,0.13963,292.4995,2.9066,walk_east_mid.0,524.5855,0.88,0.13963,0.88,0.13963,Sidewalk
5.5,5.9205,3.9807,-0.0,0.84,-0.20944,292.0795,2.857,walk_east_mid.0,523.7701,0.84,-0.20944,0.84,-0.20944,Sidewalk
6.0,6.3594,3.95,-0.06981,0.88,-0.13963,291.6406,2.7686,walk_east_mid.0,523.2348,0.88,-0.13963,0.88,-0.13963,Sidewalk
6.5,6.7791,3.9647,0.03491,0.84,0.20944,291.2209,2.7664,walk_east_mid.0,522.3885,0.84,0.20944,0.84,0.20944,Sidewalk
7.0,7.2167,4.0107,0.10472,0.88,0.13963,290.7833,2.7061,walk_east_mid.0,521.746,0.88,0.13963,0.88,0.13963,Sidewalk
7.5,7.6367,4.0107,-0.0,0.84,-0.20944,290.3633,2.641,walk_east_mid.0,521.2443,0.84,-0.20944,0.84,-0.20944,Sidewalk
8.0,8.0757,3.98,-0.06981,0.88,-0.13963,289.9243,2.5785,walk_east_mid.0,520.9816,0.88,-0.13963,0.88,-0.13963,Sidewalk
8.5,8.4954,3.9947,0.03491,0.84,0.20944,289.5046,2.5432,walk_east_mid.0,519.8575,0.84,0.20944,0.84,0.20944,Sidewalk
9.0,8.8932,4.0365,0.10472,0.8,0.13963,289.1068,2.5056,walk_east_mid.0,519.3971,0.8,0.13963,0.8,0.13963,Sidewalk
9.5,9.2732,4.0365,-0.0,0.76,-0.20944,288.7268,2.4942,walk_east_mid.0,519.009,0.76,-0.20944,0.76,-0.20944,Sidewalk
10.0,9.5505,3.9975,-0.13963,0.56,-0.27925,288.4495,2.6244,walk_east_mid.0,518.2525,0.56,-0.27925,0.56,-0.27925,Sidewalk
10.5,9.8853,3.9385,-0.17453,0.68,-0.06981,288.1147,2.6941,walk_east_mid.0,517.568,0.68,-0.06981,0.68,-0.06981,Sidewalk
11.0,10.2851,3.9245,-0.03491,0.8,0.27925,287.7149,2.6941,walk_east_mid.0,516.303,0.8,0.27925,0.8,0.27925,Sidewalk
11.5,10.6641,3.951,0.06981,0.76,0.20944,287.3359,2.7233,walk_east_mid.0,515.6348,0.76,0.20944,0.76,0.20944,Sidewalk
12.0,11.0603,4.0067,0.13963,0.8,0.13963,286.9397,2.7347,walk_east_mid.0,514.8485,0.8,0.13963,0.8,0.13963,Sidewalk
12.5,11.5133,4.0866,0.17453,0.92,0.06981,286.4867,2.642,walk_east_mid.0,514.2327,0.92,0.06981,0.92,0.06981,Sidewalk
13.0,11.913,4.1005,0.03491,0.8,-0.27925,286.087,2.6585,walk_east_mid.0,513.4502,0.8,-0.27925,0.8,-0.27925,Sidewalk
13.5,12.332,4.0712,-0.06981,0.84,-0.20944,285.668,2.639,walk_east_mid.0,512.5423,0.84,-0.20944,0.84,-0.20944,Sidewalk
14.0,12.7677,4.01,-0.13963,0.88,-0.13963,285.2323,2.5632,walk_east_mid.0,511.8643,0.88,-0.13963,0.88,-0.13963,Sidewalk
14.5,13.2207,3.9301,-0.17453,0.92,-0.06981,284.7793,2.5429,walk_east_mid.0,511.455,0.92,-0.06981,0.92,-0.06981,Sidewalk
15.0,13.6205,3.9161,-0.03491,0.8,0.27925,284.3795,2.4981,walk_east_mid.0,510.9031,0.8,0.27925,0.8,0.27925,Sidewalk
15.5,13.9996,3.9426,0.06981,0.76,0.20944,284.0004,2.5123,walk_east_mid.0,510.042,0.76,0.20944,0.76,0.20944,Sidewalk
16.0,14.3957,3.9983,0.13963,0.8,0.13963,283.6043,2.5191,walk_east_mid.0,509.2667,0.8,0.13963,0.8,0.13963,Sidewalk
16.5,14.8093,4.0712,0.17453,0.84,0.06981,283.1907,2.4642,walk_east_mid.0,509.197,0.84,0.06981,0.84,0.06981,Sidewalk
17.0,15.1691,4.0838,0.03491,0.72,-0.27925,282.8309,2.4565,walk_east_mid.0,508.1821,0.72,-0.27925,0.72,-0.27925,Sidewalk
17.5,15.5481,4.0573,-0.06981,0.76,-0.20944,282.4519,2.4373,walk_east_mid.0,507.4052,0.76,-0.20944,0.76,-0.20944,Sidewalk
18.0,15.9442,4.0016,-0.13963,0.8,-0.13963,282.0558,2.4654,walk_east_mid.0,506.5522,0.8,-0.13963,0.8,-0.13963,Sidewalk
18.5,16.3973,3.9218,-0.17453,0.92,-0.06981,281.6028,2.428,walk_east_mid.0,506.0687,0.92,-0.06981,0.92,-0.06981,Sidewalk
19.0,16.757,3.9092,-0.03491,0.72,0.27925,281.243,2.4307,walk_east_mid.0,505.4995,0.72,0.27925,0.72,0.27925,Sidewalk
19.5,17.1361,3.9357,0.06981,0.76,0.20944,280.8639,2.4312,walk_east_mid.0,504.6903,0.76,0.20944,0.76,0.20944,Sidewalk
20.0,17.5718,3.9969,0.13963,0.88,0.13963,280.4282,2.4214,walk_east_mid.0,503.8226,0.88,0.13963,0.88,0.13963,Sidewalk
20.5,18.0248,4.0768,0.17453,0.92,0.06981,279.9752,2.4001,walk_east_mid.0,503.5972,0.92,0.06981,0.92,0.06981,Sidewalk
21.0,18.3846,4.0894,0.03491,0.72,-0.27925,279.6154,2.4475,walk_east_mid.0,502.435,0.72,-0.27925,0.72,-0.27925,Sidewalk
21.5,18.7637,4.0629,-0.06981,0.76,-0.20944,279.2363,2.4934,walk_east_mid.0,501.4593,0.76,-0.20944,0.76,-0.20944,Sidewalk
22.0,19.1598,4.0072,-0.13963,0.8,-0.13963,278.8402,2.5268,walk_east_mid.0,500.5807,0.8,-0.13963,0.8,-0.13963,Sidewalk
22.5,19.6128,3.9273,-0.17453,0.92,-0.06981,278.3872,2.5023,walk_east_mid.0,500.0789,0.92,-0.06981,0.92,-0.06981,Sidewalk
