time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1999,3.993,-0.03491,0.4,-0.06981,295.8001,2.8002,walk_east_mid.0,590.5649,0.4,-0.06981,0.4,-0.06981,Sidewalk
1.0,2.5977,3.9512,-0.10472,0.8,-0.13963,295.4023,2.7783,walk_east_mid.0,588.3412,0.8,-0.13963,0.8,-0.13963,Sidewalk
1.5,3.0631,3.8858,-0.13963,0.94,-0.06981,294.9369,2.7098,walk_east_mid.0,587.3907,0.94,-0.06981,0.94,-0.06981,Sidewalk
2.0,3.5331,3.8858,-0.0,0.94,0.27925,294.4669,2.6178,walk_east_mid.0,586.3337,0.94,0.27925,0.94,0.27925,Sidewalk
2.5,4.0005,3.9349,0.10472,0.94,0.20944,293.9995,2.5011,walk_east_mid.0,585.3883,0.94,0.20944,0.94,0.20944,Sidewalk
3.0,4.4634,4.0165,0.17453,0.94,0.13963,293.5366,2.4045,walk_east_mid.0,584.4716,0.94,0.13963,0.94,0.13963,Sidewalk
3.5,4.9231,4.1143,0.20944,0.94,0.06981,293.0769,2.3391,walk_east_mid.0,583.7133,0.94,0.06981,0.94,0.06981,Sidewalk
4.0,5.3829,4.212,0.20944,0.94,-0.0,292.6172,2.2584,walk_east_mid.0,583.6315,0.94,-0.0,0.94,-0.0,Sidewalk
4.5,5.7613,4.3063,0.24435,0.78,0.06981,292.2389,2.3036,walk_east_mid.0,582.2748,0.78,0.06981,0.78,0.06981,Sidewalk
5.0,6.2076,4.4176,0.24435,0.92,-0.0,291.7927,2.2237,walk_east_mid.0,580.7849,0.92,-0.0,0.92,-0.0,Sidewalk
5.5,6.6673,4.5153,0.20944,0.94,-0.06981,291.3331,2.1629,walk_east_mid.0,580.3834,0.94,-0.06981,0.94,-0.06981,Sidewalk
6.0,7.0293,4.5923,0.20944,0.74,-0.0,290.9714,2.2322,walk_east_mid.0,579.8931,0.74,-0.0,0.74,-0.0,Sidewalk
6.5,7.4921,4.6739,0.17453,0.94,-0.06981,290.5087,2.1609,walk_east_mid.0,578.3445,0.94,-0.06981,0.94,-0.06981,Sidewalk
7.0,7.7777,4.7242,0.17453,0.58,-0.0,290.2232,2.3067,walk_east_mid.0,578.9262,0.58,-0.0,0.58,-0.0,Sidewalk
7.5,8.2431,4.7896,0.13963,0.94,-0.06981,289.7579,2.2474,walk_east_mid.0,576.6721,0.94,-0.06981,0.94,-0.06981,Sidewalk
8.0,8.6788,4.7284,-0.13963,0.88,-0.55851,289.3221,2.1925,walk_east_mid.0,577.788,0.88,-0.55851,0.88,-0.55851,Sidewalk
8.5,9.0779,4.7005,-0.06981,0.8,0.13963,288.923,2.1693,walk_east_mid.0,575.5982,0.8,0.13963,0.8,0.13963,Sidewalk
9.0,9.5476,4.6841,-0.03491,0.94,0.06981,288.4532,2.1131,walk_east_mid.0,574.5572,0.94,0.06981,0.94,0.06981,Sidewalk
9.5,9.9551,4.5825,-0.24435,0.84,-0.41888,288.0455,2.0926,walk_east_mid.0,575.0744,0.84,-0.41888,0.84,-0.41888,Sidewalk
10.0,10.326,4.4326,-0.38397,0.8,-0.27925,287.6743,2.0664,walk_east_mid.0,574.0819,0.8,-0.27925,0.8,-0.27925,Sidewalk
10.5,10.7554,4.2415,-0.41888,0.94,-0.06981,287.2447,2.0093,walk_east_mid.0,572.7734,0.94,-0.06981,0.94,-0.06981,Sidewalk
11.0,11.1847,4.0503,-0.41888,0.94,-0.0,286.8153,1.9865,walk_east_mid.0,571.6335,0.94,-0.0,0.94,-0.0,Sidewalk
11.5,11.6205,3.8743,-0.38397,0.94,0.06981,286.3795,1.918,walk_east_mid.0,571.1362,0.94,0.06981,0.94,0.06981,Sidewalk
12.0,11.9728,3.7319,-0.38397,0.76,-0.0,286.0273,1.9581,walk_east_mid.0,570.1122,0.76,-0.0,0.76,-0.0,Sidewalk
12.5,12.3957,3.578,-0.34907,0.9,0.06981,285.6046,1.9566,walk_east_mid.0,568.5995,0.9,0.06981,0.9,0.06981,Sidewalk
13.0,12.8475,3.4484,-0.27925,0.94,0.13963,285.1531,1.9483,walk_east_mid.0,568.0745,0.94,0.13963,0.94,0.13963,Sidewalk
13.5,13.2841,3.3396,-0.24435,0.9,0.06981,284.7167,1.9393,walk_east_mid.0,566.6377,0.9,0.06981,0.9,0.06981,Sidewalk
14.0,13.747,3.258,-0.17453,0.94,0.13963,284.254,1.8981,walk_east_mid.0,566.2384,0.94,0.13963,0.94,0.13963,Sidewalk
14.5,14.2124,3.1926,-0.13963,0.94,0.06981,283.7887,1.8735,walk_east_mid.0,564.5694,0.94,0.06981,0.94,0.06981,Sidewalk
15.0,14.6813,3.1598,-0.06981,0.94,0.13963,283.32,1.8044,walk_east_mid.0,564.8072,0.94,0.13963,0.94,0.13963,Sidewalk
15.5,15.151,3.1434,-0.03491,0.94,0.06981,282.8503,1.7276,walk_east_mid.0,563.1055,0.94,0.06981,0.94,0.06981,Sidewalk
16.0,15.6207,3.127,-0.03491,0.94,-0.0,282.3807,1.7015,walk_east_mid.0,561.7504,0.94,-0.0,0.94,-0.0,Sidewalk
16.5,16.0907,3.127,-0.0,0.94,0.06981,281.9107,1.5998,walk_east_mid.0,561.4047,0.94,0.06981,0.94,0.06981,Sidewalk
17.0,16.5607,3.127,-0.0,0.94,-0.0,281.4407,1.5258,walk_east_mid.0,559.9653,0.94,-0.0,0.94,-0.0,Sidewalk
17.5,17.0304,3.1434,0.03491,0.94,0.06981,280.9709,1.4332,walk_east_mid.0,559.6656,0.94,0.06981,0.94,0.06981,Sidewalk
18.0,17.5001,3.1598,0.03491,0.94,-0.0,280.5011,1.3553,walk_east_mid.0,558.3641,0.94,-0.0,0.94,-0.0,Sidewalk
18.5,17.969,3.1926,0.06981,0.94,0.06981,280.0322,1.2821,walk_east_mid.0,558.2527,0.94,0.06981,0.94,0.06981,Sidewalk
19.0,18.4378,3.2253,0.06981,0.94,-0.0,279.5633,1.1859,walk_east_mid.0,557.1082,0.94,-0.0,0.94,-0.0,Sidewalk
19.5,18.9075,3.2417,0.03491,0.94,-0.06981,279.0935,1.1014,walk_east_mid.0,555.7032,0.94,-0.06981,0.94,-0.06981,Sidewalk
20.0,19.3772,3.2581,0.03491,0.94,-0.0,278.6237,1.0269,walk_east_mid.0,554.9469,0.94,-0.0,0.94,-0.0,Sidewalk
20.5,19.8272,3.2581,-0.0,0.9,-0.06981,278.1737,0.982,walk_east_mid.0,554.1723,0.9,-0.06981,0.9,-0.06981,Sidewalk
21.0,20.2972,3.2581,-0.0,0.94,-0.0,277.7037,0.9417,walk_east_mid.0,553.1261,0.94,-0.0,0.94,-0.0,Sidewalk
21.5,20.767,3.2745,0.03491,0.94,0.06981,277.234,0.8628,walk_east_mid.0,552.6383,0.94,0.06981,0.94,0.06981,Sidewalk
22.0,21.2367,3.2909,0.03491,0.94,-0.0,276.7642,0.7966,walk_east_mid.0,551.5396,0.94,-0.0,0.94,-0.0,Sidewalk
22.5,21.7067,3.2909,-0.0,0.94,-0.06981,276.2942,0.7653,walk_east_mid.0,550.3456,0.94,-0.06981,0.94,-0.06981,Sidewalk
23.0,22.1767,3.2909,-0.0,0.94,-0.0,275.8242,0.7454,walk_east_mid.0,549.4758,0.94,-0.0,0.94,-0.0,Sidewalk
23.5,22.6464,3.3074,0.03491,0.94,0.06981,275.3545,0.713,walk_east_mid.0,548.8323,0.94,0.06981,0.94,0.06981,Sidewalk
24.0,23.1161,3.3238,0.03491,0.94,-0.0,274.8847,0.6913,walk_east_mid.0,548.0448,0.94,-0.0,0.94,-0.0,Sidewalk
24.5,23.5861,3.3238,-0.0,0.94,-0.06981,274.4147,0.6954,walk_east_mid.0,547.1304,0.94,-0.06981,0.94,-0.06981,Sidewalk
25.0,24.0561,3.3238,-0.0,0.94,-0.0,273.9447,0.881,walk_east_mid.0,545.0176,0.94,-0.0,0.94,-0.0,Sidewalk
25.5,24.5258,3.3402,0.03491,0.94,0.06981,273.475,1.2196,walk_east_mid.0,543.3903,0.94,0.06981,0.94,0.06981,Sidewalk
26.0,24.9955,3.3566,0.03491,0.94,-0.0,273.0052,1.625,walk_east_mid.0,542.0565,0.94,-0.0,0.94,-0.0,Sidewalk
26.5,25.4655,3.3566,-0.0,0.94,-0.06981,272.5352,1.7188,walk_east_mid.0,541.1328,0.94,-0.06981,0.94,-0.06981,Sidewalk
27.0,25.9355,3.3566,-0.0,0.94,-0.0,272.0652,1.7874,walk_east_mid.0,540.0988,0.94,-0.0,0.94,-0.0,Sidewalk
27.5,26.4052,3.373,0.03491,0.94,0.06981,271.5955,1.8906,walk_east_mid.0,539.1605,0.94,0.06981,0.94,0.06981,Sidewalk
28.0,26.875,3.3894,0.03491,0.94,-0.0,271.1257,1.9258,walk_east_mid.0,538.1561,0.94,-0.0,0.94,-0.0,Sidewalk
