map,global_planner,algorithm,n,success_rate
map3_grid,dijkstra,mpc_dompc,100,0.18
map3_grid,dijkstra,orca,100,0.14
map3_grid,dijkstra,orca_heuristic,100,0.74
map3_grid,dijkstra,rrt,100,0.03
map3_grid,dijkstra,sarl,100,0.66
map3_grid,dijkstra,sarl_upstream,100,0.73
map3_grid,dijkstra,teb,100,0.02
map3_grid,dijkstra,teb_upstream,100,0.06
map3_grid,rrt,astar,100,0.07
map3_grid,rrt,cadrl,100,0.36
map3_grid,rrt,cadrl_upstream,100,0.13
map3_grid,rrt,crowdnav_attngraph,100,0.44
map3_grid,rrt,crowdnav_dsrnn,100,0.33
map3_grid,rrt,dijkstra,100,0.15
map3_grid,rrt,dwa,100,0.41
map3_grid,rrt,lstm_rl,100,0.36
map3_grid,rrt,lstm_rl_upstream,100,0.23
map3_grid,rrt,mpc,100,0.26
map3_grid,rrt,mpc_dompc,100,0.28
map3_grid,rrt,orca,100,0.25
map3_grid,rrt,orca_heuristic,100,0.65
map3_grid,rrt,rrt,100,0.01
map3_grid,rrt,sarl,100,0.52
map3_grid,rrt,sarl_upstream,100,0.63
map3_grid,rrt,teb,100,0.01
map3_grid,rrt,teb_upstream,100,0.11
map4_london,astar,astar,100,0.17
map4_london,astar,cadrl,100,0.46
map4_london,astar,cadrl_upstream,100,0.36
map4_london,astar,crowdnav_attngraph,100,0.23
map4_london,astar,crowdnav_dsrnn,100,0.27
map4_london,astar,dijkstra,100,0.12
map4_london,astar,dwa,100,0.35
map4_london,astar,lstm_rl,100,0.42
map4_london,astar,lstm_rl_upstream,100,0.38
map4_london,astar,mpc,100,0.24
map4_london,astar,mpc_dompc,100,0.1
map4_london,astar,orca,100,0.08
map4_london,astar,orca_heuristic,100,0.56
map4_london,astar,rrt,100,0.01
map4_london,astar,sarl,100,0.6
map4_london,astar,sarl_upstream,100,0.69
map4_london,astar,teb,100,0.0
map4_london,astar,teb_upstream,100,0.03
map4_london,dijkstra,astar,100,0.12
map4_london,dijkstra,cadrl,100,0.43
map4_london,dijkstra,cadrl_upstream,100,0.32
map4_london,dijkstra,crowdnav_attngraph,100,0.24
map4_london,dijkstra,crowdnav_dsrnn,100,0.27
map4_london,dijkstra,dijkstra,100,0.15
map4_london,dijkstra,dwa,100,0.31
map4_london,dijkstra,lstm_rl,100,0.38
map4_london,dijkstra,lstm_rl_upstream,100,0.36
map4_london,dijkstra,mpc,100,0.24
map4_london,dijkstra,mpc_dompc,100,0.11
map4_london,dijkstra,orca,100,0.07
map4_london,dijkstra,orca_heuristic,100,0.54
map4_london,dijkstra,rrt,100,0.01
map4_london,dijkstra,sarl,100,0.6
map4_london,dijkstra,sarl_upstream,100,0.66
map4_london,dijkstra,teb,100,0.0
map4_london,dijkstra,teb_upstream,100,0.02
map4_london,rrt,astar,100,0.07
map4_london,rrt,cadrl,100,0.2
map4_london,rrt,cadrl_upstream,100,0.08
map4_london,rrt,crowdnav_attngraph,100,0.35
map4_london,rrt,crowdnav_dsrnn,100,0.29
map4_london,rrt,dijkstra,100,0.12
map4_london,rrt,dwa,100,0.27
map4_london,rrt,lstm_rl,100,0.19
map4_london,rrt,lstm_rl_upstream,100,0.13
map4_london,rrt,mpc,100,0.29
map4_london,rrt,mpc_dompc,100,0.24
map4_london,rrt,orca,100,0.17
map4_london,rrt,orca_heuristic,100,0.52
map4_london,rrt,rrt,100,0.01
map4_london,rrt,sarl,100,0.31
map4_london,rrt,sarl_upstream,100,0.48
map4_london,rrt,teb,100,0.01
map4_london,rrt,teb_upstream,100,0.13
map5_ucl,astar,astar,100,0.13
map5_ucl,astar,cadrl,100,0.38
map5_ucl,astar,cadrl_upstream,100,0.21
map5_ucl,astar,crowdnav_attngraph,100,0.66
map5_ucl,astar,crowdnav_dsrnn,100,0.49
map5_ucl,astar,dijkstra,100,0.13
map5_ucl,astar,dwa,100,0.48
map5_ucl,astar,lstm_rl,100,0.51
map5_ucl,astar,lstm_rl_upstream,100,0.34
map5_ucl,astar,mpc,100,0.23
map5_ucl,astar,mpc_dompc,100,0.11
map5_ucl,astar,orca,100,0.14
map5_ucl,astar,orca_heuristic,100,0.75
map5_ucl,astar,rrt,100,0.0
map5_ucl,astar,sarl,100,0.46
map5_ucl,astar,sarl_upstream,100,0.72
map5_ucl,astar,teb,100,0.0
map5_ucl,astar,teb_upstream,100,0.05
map5_ucl,dijkstra,astar,100,0.13
map5_ucl,dijkstra,cadrl,100,0.38
map5_ucl,dijkstra,cadrl_upstream,100,0.21
map5_ucl,dijkstra,crowdnav_attngraph,100,0.66
map5_ucl,dijkstra,crowdnav_dsrnn,100,0.49
map5_ucl,dijkstra,dijkstra,100,0.13
map5_ucl,dijkstra,dwa,100,0.48
map5_ucl,dijkstra,lstm_rl,100,0.51
map5_ucl,dijkstra,lstm_rl_upstream,100,0.34
map5_ucl,dijkstra,mpc,100,0.23
map5_ucl,dijkstra,mpc_dompc,100,0.11
map5_ucl,dijkstra,orca,100,0.14
map5_ucl,dijkstra,orca_heuristic,100,0.75
map5_ucl,dijkstra,rrt,100,0.0
map5_ucl,dijkstra,sarl,100,0.46
map5_ucl,dijkstra,sarl_upstream,100,0.72
