map,route,global_planner,task,global_plan_time_s,global_rrt_params,reactive_peds,jps_model,robot_in_jps,robot_radius_m,robot_height_m,collision_radius_m,params_file,sfm_controlled_steps,sfm_capture_events,psf_backend,psf_package_version,psf_robot_in_sim,psf_robot_mode,psf_robot_radius_m,psf_substeps_per_step,psf_substep_dt_s,psf_speed_calibration,psf_boundary_clamps,psf_capture_events,psf_layer_active_steps,psf_obstacle_resolution_pts_per_m,psf_robot_track_err_mean_m,psf_robot_track_err_p95_m,psf_robot_track_err_max_m,social_force_on_agents,social_force_on_robot,obstacle_force_on_robot,social_work,ped_affected_n,ped_delay_s_mean,ped_deflection_m_mean,ped_deflection_m_max,ped_personal_space_s_total,mode,algorithm,seed,success,termination_reason,sim_time_s,path_length_m,avg_speed_mps,min_pedestrian_distance_m,close_encounter_steps,planner_status_counts,planner_active_frac,collision,time_waiting_at_light_s,strict_sidewalk,walkable_clamped_steps,robot_as_person,num_legs,waypoints,goal_tol,persons_seen,global_plan_error
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,34,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,12,4.0,0.095,0.213,0.213,5.52,5.08,3.61,14.21,3,0.35,0.632,0.642,0.5,all,rrt,10,False,collision,50.0,49.5,0.99,0.417,4,"{'no_path': 2, 'path_found': 97}",0.9798,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,23,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,110,5,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,5,48,4.0,0.019,0.159,0.262,2.56,3.79,3.52,9.87,5,0.09,0.64,0.676,1.0,all,rrt,2,False,collision,66.0,65.5,0.992,0.219,2,"{'no_path': 1, 'path_found': 130}",0.9924,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,37,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,23,4.0,0.128,0.229,0.259,0.61,5.34,6.36,12.31,3,0.15,0.64,0.642,2.0,all,rrt,3,False,collision,53.5,53.0,0.991,0.033,6,"{'no_path': 1, 'path_found': 105}",0.9906,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,18,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,159,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,50,4.0,0.019,0.145,0.21,3.1,5.34,4.07,12.51,9,0.04,0.636,0.643,0.5,all,rrt,4,False,collision,61.0,60.5,0.992,0.416,1,"{'no_path': 1, 'path_found': 120}",0.9917,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,21,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,18,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,9,4.0,0.137,0.205,0.205,2.53,2.76,2.06,7.35,2,0.32,0.642,0.642,0.5,all,rrt,5,False,collision,47.5,47.0,0.989,0.402,3,"{'no_path': 1, 'path_found': 93}",0.9894,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,16,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,67,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,47,4.0,0.187,0.33,0.368,4.07,5.27,5.34,14.68,3,0.46,0.632,0.641,2.0,all,rrt,6,False,collision,68.0,67.5,0.993,0.234,3,"{'no_path': 1, 'path_found': 134}",0.9926,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,22,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,17,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,13,4.0,0.047,0.176,0.176,0.15,3.53,3.03,6.71,2,0.03,0.617,0.619,1.0,all,rrt,7,False,collision,53.0,52.5,0.991,0.082,1,"{'no_path': 1, 'path_found': 104}",0.9905,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,10,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,92,7,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,7,28,4.0,0.051,0.152,0.174,10.05,2.88,4.1,17.03,7,0.01,0.592,0.641,0.5,all,rrt,8,False,collision,57.5,57.0,0.991,0.382,6,"{'no_path': 1, 'path_found': 113}",0.9912,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/rrt__g-astar.json,0,0,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,0,0,4.0,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,all,rrt,9,False,collision,34.5,34.0,0.986,0.382,2,"{'no_path': 12, 'path_found': 56}",0.8235,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,3569,67,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,67,834,4.0,0.571,0.72,0.97,640.76,106.3,3124.28,3871.34,67,1.71,0.959,8.955,55.5,all,sarl,1,True,goal,474.5,307.05,0.647,0.534,21,{'sarl': 949},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,104,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,3388,77,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,77,734,4.0,0.569,0.803,0.999,579.43,62.01,2689.3,3330.74,77,1.02,0.654,0.742,43.5,all,sarl,10,True,goal,449.0,310.11,0.691,0.507,17,{'sarl': 898},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,133,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,3072,63,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,63,672,4.0,0.568,0.75,0.973,763.75,61.25,2396.18,3221.19,63,2.34,1.372,11.673,57.0,all,sarl,2,True,goal,388.0,289.73,0.747,0.441,47,{'sarl': 776},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,108,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,1340,31,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,31,552,4.0,0.573,0.74,0.992,237.9,91.09,1744.39,2073.39,31,1.84,0.655,0.762,49.0,all,sarl,3,True,goal,327.0,295.36,0.903,0.423,47,{'sarl': 654},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,64,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,2536,54,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,54,696,4.0,0.592,0.714,1.0,376.1,102.06,2616.99,3095.15,54,1.1,0.639,0.69,32.0,all,sarl,4,True,goal,394.5,301.41,0.764,0.575,10,{'sarl': 789},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,79,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,2344,56,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,56,587,4.0,0.563,0.749,0.926,432.19,51.2,1936.64,2420.03,56,0.74,0.872,12.51,23.0,all,sarl,5,True,goal,372.0,275.52,0.741,0.534,12,{'sarl': 744},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,100,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,2292,52,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,52,585,4.0,0.547,0.772,0.992,572.37,60.16,1766.64,2399.18,52,0.64,1.315,27.58,32.0,all,sarl,6,True,goal,358.5,257.44,0.718,0.527,21,{'sarl': 717},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,96,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,2621,27,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,27,450,4.0,0.591,0.718,0.997,400.04,81.07,1669.55,2150.66,27,1.97,1.547,6.616,33.0,all,sarl,7,True,goal,271.0,251.32,0.927,0.637,5,{'sarl': 542},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,64,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,2618,46,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,46,602,4.0,0.568,0.734,0.999,408.92,46.62,2243.24,2698.78,46,0.99,0.751,5.847,26.0,all,sarl,8,True,goal,372.5,253.38,0.68,0.427,25,{'sarl': 745},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,86,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl__g-astar.json,3976,74,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,74,681,4.0,0.577,0.709,0.936,759.42,27.08,2502.19,3288.68,74,0.74,1.507,19.246,26.0,all,sarl,9,True,goal,435.0,253.71,0.583,0.445,68,{'sarl': 870},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,111,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,1320,25,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,25,434,4.0,0.537,0.915,0.991,89.4,15.75,1027.93,1133.08,25,0.31,0.73,2.865,10.5,all,sarl_upstream,1,True,goal,256.5,247.52,0.965,0.502,7,"{'goal_direct': 57, 'sarl_upstream': 456}",0.8889,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,55,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,2346,26,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,26,400,4.0,0.519,0.844,0.987,296.36,13.84,831.69,1141.89,26,0.29,1.341,7.579,13.0,all,sarl_upstream,10,True,goal,249.0,246.29,0.989,0.599,1,"{'goal_direct': 56, 'sarl_upstream': 442}",0.8876,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,71,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,1589,26,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,26,396,4.0,0.6,0.812,0.984,210.92,17.35,1238.93,1467.2,26,1.69,0.954,6.4,8.5,all,sarl_upstream,2,True,goal,242.5,240.22,0.991,0.461,6,"{'goal_direct': 88, 'sarl_upstream': 397}",0.8186,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,71,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,686,19,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,19,372,4.0,0.621,0.909,0.994,92.09,10.46,1040.44,1143.0,19,0.21,0.652,0.74,6.5,all,sarl_upstream,3,True,goal,249.0,240.74,0.967,0.794,1,"{'goal_direct': 182, 'sarl_upstream': 316}",0.6345,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,47,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,1102,22,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,22,411,4.0,0.575,0.808,0.976,177.12,144.22,970.87,1292.22,22,4.23,0.633,0.654,141.0,all,sarl_upstream,4,True,goal,242.0,238.63,0.986,0.602,105,"{'goal_direct': 63, 'sarl_upstream': 421}",0.8698,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,56,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,755,28,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,28,294,4.0,0.597,0.927,0.985,122.16,16.2,898.64,1037.0,28,0.28,0.656,0.75,7.0,all,sarl_upstream,5,True,goal,248.0,240.73,0.971,0.427,7,"{'goal_direct': 152, 'sarl_upstream': 344}",0.6935,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,58,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,1724,28,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,28,395,4.0,0.601,0.87,0.992,399.93,201.56,1457.36,2058.85,28,3.56,0.975,9.565,66.5,all,sarl_upstream,6,True,goal,246.5,239.28,0.971,0.592,12,"{'goal_direct': 91, 'sarl_upstream': 402}",0.8154,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,66,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,2121,26,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,26,415,4.0,0.55,0.888,0.99,470.74,17.62,1105.89,1594.25,26,0.46,0.63,0.696,11.0,all,sarl_upstream,7,True,goal,253.5,244.92,0.966,0.546,3,"{'goal_direct': 108, 'sarl_upstream': 399}",0.787,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,59,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,2184,40,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,40,476,4.0,0.601,0.801,0.984,317.23,53.92,1464.73,1835.89,39,0.44,0.637,0.736,53.0,all,sarl_upstream,8,True,goal,322.5,238.83,0.741,0.446,13,{'sarl_upstream': 645},1.0,False,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,77,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/sarl_upstream__g-astar.json,0,0,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,0,0,4.0,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,all,sarl_upstream,9,False,collision,50.5,45.77,0.906,0.419,6,"{'goal_direct': 25, 'sarl_upstream': 75}",0.75,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,30,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,97,7,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,7,68,4.0,0.03,0.137,0.226,7.32,8.32,8.2,23.85,7,0.21,0.606,0.642,2.0,all,teb,1,False,collision,72.5,72.0,0.993,0.331,4,{'teb_optimized': 144},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,21,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,34,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,12,4.0,0.092,0.228,0.228,3.16,5.3,4.97,13.43,3,0.09,0.632,0.642,1.0,all,teb,10,False,collision,50.0,49.5,0.99,0.074,4,{'teb_optimized': 99},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,23,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,712,12,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,12,261,4.0,0.169,0.527,0.67,52.97,6.91,186.78,246.67,12,0.6,0.638,0.714,2.0,all,teb,2,False,collision,178.0,175.37,0.985,0.301,7,"{'teb_optimized': 354, 'teb_partial': 1}",1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,52,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,12,1,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,1,12,4.0,0.055,0.158,0.158,2.08,3.27,3.23,8.58,1,0.09,0.639,0.639,1.0,all,teb,3,False,collision,48.0,47.5,0.99,0.418,5,{'teb_optimized': 95},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,15,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,164,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,51,4.0,0.022,0.149,0.186,6.45,5.91,4.76,17.12,9,0.14,0.642,0.661,1.5,all,teb,4,False,collision,61.5,61.0,0.992,0.285,2,{'teb_optimized': 122},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,21,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,18,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,9,4.0,0.061,0.177,0.177,2.42,3.59,2.98,9.0,2,0.04,0.641,0.642,1.0,all,teb,5,False,collision,47.5,47.0,0.989,0.254,4,{'teb_optimized': 94},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,16,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,96,4,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,4,68,4.0,0.045,0.137,0.175,4.73,10.26,10.54,25.52,4,0.35,0.637,0.642,3.0,all,teb,6,False,collision,78.5,78.0,0.994,0.16,5,{'teb_optimized': 156},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,25,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,19,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,14,4.0,0.049,0.129,0.129,3.37,3.57,3.47,10.41,2,0.43,0.617,0.619,1.0,all,teb,7,False,collision,53.5,53.0,0.991,0.217,2,{'teb_optimized': 106},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,10,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,92,7,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,7,28,4.0,0.018,0.11,0.166,10.03,3.45,3.1,16.58,7,0.01,0.592,0.641,0.5,all,teb,8,False,collision,57.5,57.0,0.991,0.325,6,{'teb_optimized': 114},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb__g-astar.json,0,0,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,0,0,4.0,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,all,teb,9,False,collision,34.5,34.0,0.986,0.414,2,{'teb_optimized': 68},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,168,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,79,4.0,0.061,0.207,0.317,5.36,12.63,19.29,37.28,9,0.14,0.635,0.643,4.0,all,teb_upstream,1,False,collision,79.0,77.75,0.984,0.269,11,{'teb_upstream': 157},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,22,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,40,4,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,4,14,4.0,0.096,0.281,0.281,4.15,6.38,6.14,16.68,4,0.13,0.587,0.642,2.0,all,teb_upstream,10,False,collision,51.0,50.13,0.983,0.275,6,{'teb_upstream': 101},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,24,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,108,5,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,5,47,4.0,0.034,0.106,0.187,0.33,3.67,7.22,11.22,5,0.04,0.626,0.635,1.0,all,teb_upstream,2,False,collision,66.0,65.2,0.988,0.137,1,{'teb_upstream': 131},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,35,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,22,4.0,0.09,0.227,0.379,1.17,6.52,7.99,15.67,3,0.06,0.64,0.642,1.5,all,teb_upstream,3,False,collision,53.5,52.46,0.981,0.328,5,{'teb_upstream': 106},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,18,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,164,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,51,4.0,0.04,0.16,0.179,4.0,5.5,9.71,19.21,9,0.04,0.637,0.643,1.5,all,teb_upstream,4,False,collision,61.5,60.7,0.987,0.26,2,{'teb_upstream': 122},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,21,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,179,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,66,4.0,0.069,0.194,0.246,15.92,13.87,20.24,50.03,9,0.18,0.643,0.672,4.5,all,teb_upstream,5,False,collision,84.0,82.22,0.979,0.383,13,{'teb_upstream': 167},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,24,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,28,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,15,4.0,0.058,0.222,0.222,0.04,3.5,3.74,7.28,2,0.03,0.632,0.641,1.0,all,teb_upstream,6,False,collision,49.0,48.2,0.984,0.049,1,{'teb_upstream': 97},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,20,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,18,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,14,4.0,0.07,0.161,0.161,0.09,3.24,4.34,7.66,2,0.15,0.617,0.619,1.0,all,teb_upstream,7,False,collision,53.5,52.69,0.985,0.373,2,{'teb_upstream': 106},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,10,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,219,11,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,11,48,4.0,0.063,0.191,0.267,32.14,7.96,11.87,51.97,11,0.04,0.606,0.649,2.5,all,teb_upstream,8,False,collision,68.0,67.2,0.988,0.289,9,{'teb_upstream': 135},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,27,
map1_straight,default,astar,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/teb_upstream__g-astar.json,0,0,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,0,0,4.0,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,all,teb_upstream,9,False,collision,35.0,34.2,0.977,0.373,2,{'teb_upstream': 69},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,26,
map1_straight,default,dijkstra,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-dijkstra.json,33,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,33,4.0,0.072,0.187,0.386,0.82,3.27,3.44,7.53,2,0.16,0.635,0.642,1.0,all,astar,1,False,collision,53.0,52.5,0.991,0.377,1,{'path_found': 105},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,12,
map1_straight,default,dijkstra,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-dijkstra.json,34,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,12,4.0,0.106,0.313,0.313,4.19,5.86,4.75,14.8,3,0.19,0.632,0.642,1.0,all,astar,10,False,collision,50.0,49.5,0.99,0.388,4,{'path_found': 99},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,23,
map1_straight,default,dijkstra,t08,0.0,,pysf,,True,0.25,1.0,0.42,configs/astar__g-dijkstra.json,169,7,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,7,93,4.0,0.323,0.689,0.811,2.08,2.7,89.5,94.28,7,0.09,0.627,0.636,1.5,all,astar,2,False,collision,94.0,93.5,0.995,0.323,3,{'path_found': 187},1.0,True,0.0,,0,False,3,"[[86.28, -4.2], [0.0, -4.2], [0.0, 4.2], [142.55, 4.2]]",1.0,33,
