map,route,global_planner,task,global_plan_time_s,global_rrt_params,reactive_peds,jps_model,robot_in_jps,robot_radius_m,robot_height_m,collision_radius_m,params_file,sfm_controlled_steps,sfm_capture_events,psf_backend,psf_package_version,psf_robot_in_sim,psf_robot_mode,psf_robot_radius_m,psf_substeps_per_step,psf_substep_dt_s,psf_speed_calibration,psf_boundary_clamps,psf_capture_events,psf_layer_active_steps,psf_obstacle_resolution_pts_per_m,psf_robot_track_err_mean_m,psf_robot_track_err_p95_m,psf_robot_track_err_max_m,social_force_on_agents,social_force_on_robot,obstacle_force_on_robot,social_work,ped_affected_n,ped_delay_s_mean,ped_deflection_m_mean,ped_deflection_m_max,ped_personal_space_s_total,mode,algorithm,seed,success,termination_reason,sim_time_s,path_length_m,avg_speed_mps,min_pedestrian_distance_m,close_encounter_steps,planner_status_counts,planner_active_frac,collision,time_waiting_at_light_s,strict_sidewalk,walkable_clamped_steps,robot_as_person,num_legs,waypoints,goal_tol,persons_seen,global_plan_error
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,187,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,184,4.0,0.323,0.556,0.971,1.39,1.39,177.63,180.41,2,0.1,0.634,0.639,0.5,all,cadrl,1,True,goal,99.5,99.5,1.0,0.667,3,{'cadrl': 199},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,25,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,691,4,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,4,192,4.0,0.612,0.688,0.941,55.89,1.56,630.4,687.85,4,0.14,0.631,0.637,1.0,all,cadrl,10,True,goal,100.5,100.34,0.998,0.528,6,{'cadrl': 201},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,32,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,410,4,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,4,196,4.0,0.505,0.662,0.999,2.26,2.27,365.38,369.9,3,0.23,0.633,0.636,1.5,all,cadrl,2,True,goal,101.0,100.58,0.996,0.495,8,{'cadrl': 202},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,34,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,384,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,184,4.0,0.577,0.691,0.921,19.25,20.39,457.74,497.38,3,3.96,0.652,0.675,30.5,all,cadrl,3,True,goal,105.0,102.17,0.973,0.436,16,{'cadrl': 210},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,27,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,14,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,9,4.0,0.363,0.406,0.406,3.73,4.11,3.09,10.93,2,0.51,0.644,0.644,2.0,all,cadrl,4,False,collision,8.0,7.5,0.938,0.396,2,{'cadrl': 15},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,9,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,219,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,146,4.0,0.399,0.648,0.792,7.82,8.2,258.21,274.23,3,1.67,0.641,0.642,10.5,all,cadrl,5,True,goal,104.0,101.89,0.98,0.494,27,{'cadrl': 208},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,30,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,243,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,188,4.0,0.498,0.601,0.931,0.0,0.0,587.35,587.35,2,0.05,0.632,0.64,0.0,all,cadrl,6,True,goal,99.5,99.49,1.0,0.547,1,{'cadrl': 199},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,27,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,326,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,173,4.0,0.52,0.665,0.786,4.91,4.92,366.27,376.1,2,0.75,0.634,0.652,10.0,all,cadrl,7,True,goal,99.5,99.36,0.999,0.914,0,{'cadrl': 199},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,21,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,633,6,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,6,135,4.0,0.39,0.705,0.886,148.8,3.2,225.95,377.95,6,0.24,0.649,0.711,3.5,all,cadrl,8,False,collision,74.0,73.1,0.988,0.341,10,{'cadrl': 147},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,28,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl__g-astar.json,938,7,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,7,181,4.0,0.535,0.675,0.952,223.71,0.07,507.27,731.05,7,0.03,0.638,0.696,0.5,all,cadrl,9,True,goal,101.0,100.44,0.994,0.544,6,{'cadrl': 202},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,40,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,443,6,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,6,194,4.0,0.623,0.972,0.988,9.26,1.84,637.44,648.54,6,0.05,0.639,0.646,1.0,all,cadrl_upstream,1,True,goal,130.0,103.65,0.797,0.547,12,{'cadrl_upstream': 260},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,29,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,1608,14,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,14,337,4.0,0.685,0.973,0.991,116.79,22.28,1071.7,1210.76,14,0.74,0.63,0.638,17.0,all,cadrl_upstream,10,True,goal,188.0,108.53,0.577,0.531,7,{'cadrl_upstream': 376},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,54,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,1779,35,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,35,585,4.0,0.807,0.998,0.999,439.3,175.59,2044.69,2659.59,35,3.15,0.843,7.455,117.5,all,cadrl_upstream,2,True,goal,309.0,111.17,0.36,0.516,20,{'cadrl_upstream': 618},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,90,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,668,15,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,15,346,4.0,0.775,0.972,0.996,53.0,33.36,1202.51,1288.87,15,0.98,0.648,0.716,33.5,all,cadrl_upstream,3,True,goal,225.0,106.44,0.473,0.423,48,"{'cadrl_upstream': 375, 'goal_direct': 75}",0.8333,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,45,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,833,11,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,11,226,4.0,0.64,0.931,0.983,68.49,4.54,772.78,845.82,11,0.37,0.641,0.685,2.0,all,cadrl_upstream,4,True,goal,116.0,102.92,0.887,0.611,2,"{'cadrl_upstream': 226, 'goal_direct': 6}",0.9741,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,28,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,233,6,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,6,142,4.0,0.558,0.986,1.0,30.16,16.21,356.61,402.98,6,1.21,0.609,0.643,7.5,all,cadrl_upstream,5,False,collision,118.0,93.1,0.789,0.417,14,"{'cadrl_upstream': 201, 'goal_direct': 34}",0.8553,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,32,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,250,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,221,4.0,0.383,0.765,0.986,0.02,0.02,248.77,248.82,3,0.03,0.632,0.64,0.5,all,cadrl_upstream,6,True,goal,125.5,105.75,0.843,0.744,2,"{'cadrl_upstream': 81, 'goal_direct': 170}",0.3227,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,33,
