time,x,y,yaw,v,w,goal_distance,min_person_dist,closest_person,total_cost,action_linear_x,action_angular_z,observation_state_linear_x,observation_state_angular_z,observation_state_road_type
0.5,2.1599,3.9944,-0.03491,0.32,-0.06981,295.8401,2.8402,walk_east_mid.0,590.1029,0.32,-0.06981,0.32,-0.06981,Sidewalk
1.0,2.4497,3.9843,-0.03491,0.58,-0.0,295.5503,3.0479,walk_east_mid.0,587.9663,0.58,-0.0,0.58,-0.0,Sidewalk
1.5,2.8697,3.9843,0.0,0.84,0.06981,295.1303,3.1331,walk_east_mid.0,586.029,0.84,0.06981,0.84,0.06981,Sidewalk
2.0,3.2987,3.9543,-0.06981,0.86,-0.13963,294.7013,3.2029,walk_east_mid.0,585.1427,0.86,-0.13963,0.86,-0.13963,Sidewalk
2.5,3.7384,3.9389,-0.03491,0.88,0.06981,294.2616,3.2998,walk_east_mid.0,584.0306,0.88,0.06981,0.88,0.06981,Sidewalk
3.0,4.1881,3.9232,-0.03491,0.9,-0.0,293.8119,3.3679,walk_east_mid.0,582.97,0.9,-0.0,0.9,-0.0,Sidewalk
3.5,4.6481,3.9232,-0.0,0.92,0.06981,293.3519,3.4126,walk_east_mid.0,581.9244,0.92,0.06981,0.92,0.06981,Sidewalk
4.0,5.117,3.956,0.06981,0.94,0.13963,292.883,3.4591,walk_east_mid.0,580.9947,0.94,0.13963,0.94,0.13963,Sidewalk
4.5,5.5944,4.0062,0.10472,0.96,0.06981,292.4056,3.4226,walk_east_mid.0,579.9456,0.96,0.06981,0.96,0.06981,Sidewalk
5.0,6.0841,4.0233,0.03491,0.98,-0.13963,291.9159,3.3954,walk_east_mid.0,578.9931,0.98,-0.13963,0.98,-0.13963,Sidewalk
5.5,6.5429,4.0554,0.06981,0.92,0.06981,291.4571,3.4156,walk_east_mid.0,578.0652,0.92,0.06981,0.92,0.06981,Sidewalk
6.0,7.0129,4.0554,-0.0,0.94,-0.13963,290.9871,3.3836,walk_east_mid.0,577.0643,0.94,-0.13963,0.94,-0.13963,Sidewalk
6.5,7.4927,4.0386,-0.03491,0.96,-0.06981,290.5074,3.3985,walk_east_mid.0,576.0556,0.96,-0.06981,0.96,-0.06981,Sidewalk
7.0,7.9824,4.0557,0.03491,0.98,0.13963,290.0177,3.3954,walk_east_mid.0,575.0866,0.98,0.13963,0.98,0.13963,Sidewalk
7.5,8.4412,4.0878,0.06981,0.92,0.06981,289.5588,3.4139,walk_east_mid.0,574.214,0.92,0.06981,0.92,0.06981,Sidewalk
8.0,8.9512,4.0878,-0.0,1.02,-0.13963,289.0488,3.3481,walk_east_mid.0,572.846,1.02,-0.13963,1.02,-0.13963,Sidewalk
8.5,9.4309,4.1046,0.03491,0.96,0.06981,288.5691,3.3134,walk_east_mid.0,572.233,0.96,0.06981,0.96,0.06981,Sidewalk
9.0,9.9606,4.0861,-0.03491,1.06,-0.13963,288.0394,3.2822,walk_east_mid.0,570.8894,1.06,-0.13963,1.06,-0.13963,Sidewalk
9.5,10.4594,4.0512,-0.06981,1.0,-0.06981,287.5406,3.2823,walk_east_mid.0,570.1069,1.0,-0.06981,1.0,-0.06981,Sidewalk
10.0,10.9294,4.0512,-0.0,0.94,0.13963,287.0706,3.3416,walk_east_mid.0,569.3409,0.94,0.13963,0.94,0.13963,Sidewalk
10.5,11.4091,4.068,0.03491,0.96,0.06981,286.5909,3.3073,walk_east_mid.0,568.354,0.96,0.06981,0.96,0.06981,Sidewalk
11.0,11.9388,4.0495,-0.03491,1.06,-0.13963,286.0612,3.2678,walk_east_mid.0,566.8271,1.06,-0.13963,1.06,-0.13963,Sidewalk
11.5,12.4376,4.0146,-0.06981,1.0,-0.06981,285.5624,3.222,walk_east_mid.0,566.1442,1.0,-0.06981,1.0,-0.06981,Sidewalk
12.0,12.9076,4.0146,-0.0,0.94,0.13963,285.0924,3.2808,walk_east_mid.0,565.2722,0.94,0.13963,0.94,0.13963,Sidewalk
12.5,13.3873,3.9978,-0.03491,0.96,-0.06981,284.6127,3.3118,walk_east_mid.0,564.3649,0.96,-0.06981,0.96,-0.06981,Sidewalk
13.0,13.9169,4.0163,0.03491,1.06,0.13963,284.0831,3.2448,walk_east_mid.0,563.0785,1.06,0.13963,1.06,0.13963,Sidewalk
13.5,14.4157,4.0512,0.06981,1.0,0.06981,283.5843,3.2613,walk_east_mid.0,562.0864,1.0,0.06981,1.0,0.06981,Sidewalk
14.0,14.9257,4.0512,-0.0,1.02,-0.13963,283.0743,3.2771,walk_east_mid.0,560.8625,1.02,-0.13963,1.02,-0.13963,Sidewalk
14.5,15.4054,4.068,0.03491,0.96,0.06981,282.5946,3.2478,walk_east_mid.0,560.3836,0.96,0.06981,0.96,0.06981,Sidewalk
