success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,415,207.0,206.625,295.88,0.6983,0.6996,89.674,0.392,1,23,0.0554,0.0562,0,0.0,0.996,0.034,0.004,0.002,mpc,39
False,collision,81,40.0,39.625,295.88,0.1339,0.1352,256.269,0.382,1,12,0.1481,0.1481,0,0.0,0.981,0.019,0.019,0.013,mpc,40
False,collision,428,213.5,213.125,295.88,0.7203,0.7216,82.952,0.17,1,32,0.0748,0.0751,0,0.0,0.996,0.025,0.004,0.002,mpc,41
False,collision,51,25.0,24.625,295.88,0.0832,0.0845,271.283,0.419,1,14,0.2745,0.2745,0,0.0,0.971,0.052,0.03,0.02,mpc,42
False,collision,462,230.5,230.125,295.88,0.7778,0.779,65.971,0.326,1,29,0.0628,0.067,0,0.0,0.997,0.021,0.003,0.002,mpc,43
False,collision,45,22.0,21.625,295.88,0.0731,0.0744,274.286,0.342,1,15,0.3333,0.3333,0,0.0,0.967,0.054,0.034,0.023,mpc,44
False,collision,184,91.5,91.125,295.88,0.308,0.3092,204.778,0.417,1,29,0.1576,0.1576,0,0.0,0.992,0.01,0.008,0.005,mpc,45
False,collision,476,237.5,237.125,295.88,0.8014,0.8027,59.078,0.306,1,17,0.0357,0.0382,0,0.0,0.997,0.037,0.003,0.002,mpc,46
False,collision,180,89.5,89.125,295.88,0.3012,0.3025,206.768,0.413,1,27,0.15,0.15,0,0.0,0.992,0.008,0.008,0.006,mpc,47
False,collision,84,41.5,41.125,295.88,0.139,0.1403,254.787,0.42,1,35,0.4167,0.4167,0,0.0,0.982,0.03,0.018,0.012,mpc,48
False,collision,343,171.0,170.625,295.88,0.5767,0.5779,125.404,0.399,1,24,0.07,0.07,0,0.0,0.996,0.021,0.004,0.003,mpc,49
False,collision,62,30.5,30.125,295.88,0.1018,0.1031,265.777,0.348,1,9,0.1452,0.1452,0,0.0,0.976,0.035,0.025,0.017,mpc,50
False,collision,425,212.0,211.625,295.88,0.7152,0.7165,84.619,0.347,1,23,0.0541,0.0546,0,0.0,0.996,0.033,0.004,0.002,mpc,51
False,collision,439,219.0,218.625,295.88,0.7389,0.7402,77.991,0.364,1,39,0.0888,0.0888,0,0.0,0.997,0.051,0.003,0.002,mpc,52
False,collision,494,246.5,246.125,295.88,0.8318,0.8331,51.165,0.365,1,38,0.0769,0.0784,0,0.0,0.997,0.076,0.003,0.002,mpc,53
False,collision,499,249.0,248.625,295.88,0.8403,0.8416,47.767,0.38,1,32,0.0641,0.0641,0,0.0,0.997,0.035,0.003,0.002,mpc,54
False,collision,430,214.5,214.125,295.88,0.7237,0.725,82.011,0.345,1,29,0.0674,0.0674,0,0.0,0.997,0.028,0.003,0.002,mpc,55
False,collision,453,226.0,225.625,295.88,0.7626,0.7638,70.539,0.397,1,37,0.0817,0.0894,0,0.0,0.997,0.032,0.003,0.002,mpc,56
False,collision,310,154.5,154.125,295.88,0.5209,0.5222,141.908,0.355,1,34,0.1097,0.1097,0,0.0,0.995,0.022,0.005,0.003,mpc,57
False,collision,431,215.0,214.625,295.88,0.7254,0.7266,81.837,0.216,1,39,0.0905,0.0905,0,0.0,0.997,0.063,0.003,0.002,mpc,58
False,collision,426,212.5,212.125,295.88,0.7169,0.7182,84.192,0.401,1,35,0.0822,0.0833,0,0.0,0.996,0.037,0.004,0.002,mpc,59
False,collision,180,89.5,89.125,295.88,0.3012,0.3025,206.896,0.346,1,20,0.1111,0.1111,0,0.0,0.992,0.026,0.008,0.006,mpc,60
False,collision,123,61.0,60.625,295.88,0.2049,0.2062,235.271,0.398,1,14,0.1138,0.1138,0,0.0,0.988,0.013,0.012,0.008,mpc,61
False,collision,51,25.0,24.625,295.88,0.0832,0.0845,271.284,0.393,1,10,0.1961,0.1961,0,0.0,0.971,0.061,0.03,0.02,mpc,62
False,collision,544,271.5,271.125,295.88,0.9163,0.9176,25.136,0.363,1,53,0.0974,0.1019,0,0.0,0.997,0.032,0.003,0.002,mpc,63
False,collision,412,205.5,205.125,295.88,0.6933,0.6945,91.023,0.341,1,10,0.0243,0.0264,0,0.0,0.996,0.041,0.004,0.002,mpc,64
False,collision,430,214.5,214.125,295.88,0.7237,0.725,82.464,0.343,1,44,0.1023,0.1023,0,0.0,0.997,0.049,0.003,0.002,mpc,65
False,collision,435,217.0,216.625,295.88,0.7321,0.7334,79.581,0.402,1,21,0.0483,0.0494,0,0.0,0.997,0.029,0.003,0.002,mpc,66
False,collision,497,248.0,247.625,295.88,0.8369,0.8382,48.692,0.367,1,32,0.0644,0.0663,0,0.0,0.997,0.035,0.003,0.002,mpc,67
False,collision,304,151.5,151.125,295.88,0.5108,0.512,145.032,0.387,1,13,0.0428,0.0428,0,0.0,0.995,0.06,0.005,0.003,mpc,68
False,collision,446,222.5,222.125,295.88,0.7507,0.752,74.106,0.274,1,22,0.0493,0.0494,0,0.0,0.997,0.03,0.003,0.002,mpc,69
