success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,532,265.5,209.608,295.8,0.7086,0.7181,86.72,0.383,1,20,0.0376,0.0403,0,0.0,0.789,0.047,0.024,0.074,39,dwa
False,collision,77,38.0,30.1,295.8,0.1018,0.1028,265.973,0.147,1,7,0.0909,0.0909,0,0.0,0.787,0.062,0.028,0.067,40,dwa
False,collision,644,321.5,246.794,295.8,0.8343,0.8695,57.567,0.09,1,45,0.0699,0.0765,0,0.0,0.767,0.108,0.053,0.152,41,dwa
False,collision,63,31.0,24.5,295.8,0.0828,0.0838,271.343,0.122,1,2,0.0317,0.0317,0,0.0,0.784,0.037,0.032,0.077,42,dwa
False,collision,566,282.5,221.697,295.8,0.7495,0.764,77.832,0.344,1,27,0.0477,0.0496,0,0.0,0.784,0.075,0.035,0.122,43,dwa
False,collision,588,293.5,229.049,295.8,0.7743,0.7938,69.809,0.304,1,27,0.0459,0.0471,0,0.0,0.78,0.08,0.04,0.124,44,dwa
True,goal_reached,772,385.5,299.299,295.8,1.0118,1.0426,0.237,0.463,0,36,0.0466,0.0468,0,0.0,0.776,0.073,0.033,0.099,45,dwa
False,collision,549,274.0,217.47,295.8,0.7352,0.741,79.768,0.312,1,22,0.0401,0.0419,0,0.0,0.793,0.053,0.016,0.05,46,dwa
False,collision,540,269.5,212.8,295.8,0.7194,0.7289,84.07,0.162,1,13,0.0241,0.0269,0,0.0,0.789,0.05,0.016,0.052,47,dwa
False,collision,587,293.0,228.89,295.8,0.7738,0.7924,68.425,0.152,1,26,0.0443,0.0474,0,0.0,0.781,0.059,0.028,0.091,48,dwa
False,collision,583,291.0,227.589,295.8,0.7694,0.787,69.62,0.152,1,27,0.0463,0.0466,0,0.0,0.781,0.057,0.025,0.076,49,dwa
False,collision,579,289.0,227.57,295.8,0.7693,0.7816,70.744,0.153,1,35,0.0604,0.0604,0,0.0,0.787,0.06,0.028,0.096,50,dwa
False,collision,599,299.0,225.23,295.8,0.7614,0.8087,84.27,0.204,1,49,0.0818,0.0861,0,0.0,0.753,0.122,0.052,0.162,51,dwa
False,max_time,1801,900.0,117.08,295.8,0.3958,2.4341,179.709,0.444,0,44,0.0244,0.0244,0,0.0,0.13,0.04,0.012,0.045,52,dwa
False,collision,526,262.5,205.589,295.8,0.695,0.7099,91.73,0.33,1,30,0.057,0.057,0,0.0,0.782,0.062,0.025,0.087,53,dwa
False,collision,567,283.0,219.615,295.8,0.7424,0.7654,79.404,0.265,1,48,0.0847,0.0902,0,0.0,0.775,0.076,0.037,0.115,54,dwa
