success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,444,221.5,261.45,295.85,0.8837,0.8984,34.668,0.382,1,30,0.0676,0.0676,0,0.0,1.178,0.02,0.009,0.014,astar,39
False,collision,450,224.5,266.85,295.85,0.902,0.9106,29.249,0.387,1,31,0.0689,0.0689,0,0.0,1.187,0.026,0.009,0.013,astar,40
False,collision,394,196.5,233.25,295.85,0.7884,0.797,62.723,0.34,1,21,0.0533,0.0571,0,0.0,1.185,0.016,0.011,0.015,astar,41
False,collision,492,245.5,290.1,295.85,0.9806,0.9958,6.103,0.311,1,30,0.061,0.061,0,0.0,1.18,0.03,0.021,0.042,astar,42
False,collision,273,136.0,158.4,295.85,0.5354,0.5516,137.585,0.341,1,18,0.0659,0.0659,0,0.0,1.162,0.024,0.015,0.027,astar,43
False,collision,373,186.0,220.2,295.85,0.7443,0.7544,75.927,0.376,1,43,0.1153,0.1153,0,0.0,1.182,0.033,0.011,0.016,astar,44
False,collision,378,188.5,222.6,295.85,0.7524,0.7646,73.475,0.381,1,25,0.0661,0.0672,0,0.0,1.179,0.026,0.014,0.016,astar,45
True,goal_reached,500,249.5,296.4,295.85,1.0019,1.012,0.137,0.41,0,46,0.092,0.092,0,0.0,1.186,0.031,0.011,0.022,astar,46
False,collision,373,186.0,211.8,295.85,0.7159,0.7544,84.253,0.337,1,24,0.0643,0.0686,0,0.0,1.136,0.033,0.031,0.042,astar,47
False,collision,73,36.0,33.9,295.85,0.1146,0.146,262.008,0.335,1,9,0.1233,0.1233,0,0.0,0.933,0.046,0.125,0.287,astar,48
False,collision,217,108.0,127.5,295.85,0.431,0.4381,168.376,0.37,1,7,0.0323,0.0323,0,0.0,1.176,0.007,0.019,0.028,astar,49
False,collision,309,154.0,182.55,295.85,0.617,0.6246,113.449,0.378,1,17,0.055,0.055,0,0.0,1.183,0.02,0.006,0.008,astar,50
False,collision,253,126.0,147.45,295.85,0.4984,0.5111,148.424,0.378,1,39,0.1542,0.1612,0,0.0,1.167,0.002,0.012,0.029,astar,51
False,collision,281,140.0,164.55,295.85,0.5562,0.5679,131.467,0.387,1,31,0.1103,0.1103,0,0.0,1.172,0.032,0.015,0.022,astar,52
False,collision,417,208.0,243.75,295.85,0.8239,0.8437,53.5,0.344,1,51,0.1223,0.1226,0,0.0,1.17,0.029,0.016,0.052,astar,53
False,collision,26,12.5,13.35,295.85,0.0451,0.0507,282.581,0.325,1,3,0.1154,0.1154,0,0.0,1.038,0.122,0.264,0.45,astar,54
False,collision,209,104.0,120.3,295.85,0.4066,0.4218,175.689,0.352,1,3,0.0144,0.0144,0,0.0,1.153,0.026,0.014,0.035,astar,55
False,collision,106,52.5,60.15,295.85,0.2033,0.2129,235.743,0.338,1,5,0.0472,0.0472,0,0.0,1.138,0.034,0.04,0.115,astar,56
False,collision,238,118.5,137.7,295.85,0.4654,0.4806,158.269,0.385,1,24,0.1008,0.1008,0,0.0,1.158,0.03,0.008,0.01,astar,57
False,collision,399,199.0,237.15,295.85,0.8016,0.8072,58.958,0.341,1,48,0.1203,0.1203,0,0.0,1.189,0.027,0.011,0.015,astar,58
False,collision,377,188.0,224.7,295.85,0.7595,0.7625,71.46,0.325,1,19,0.0504,0.0507,0,0.0,1.193,0.027,0.008,0.016,astar,59
False,collision,292,145.5,172.35,295.85,0.5826,0.5902,123.592,0.281,1,15,0.0514,0.0514,0,0.0,1.182,0.01,0.006,0.008,astar,60
